"Tag";"Ø 2016 - 2019";"2017";"2018";"2019";"2020"
"01/01";2688;2912;2665;2616;2678
"01/02";2721;3085;2760;2618;2809
"01/03";2729;2923;2870;2601;2757
"01/04";2834;2973;2865;2753;2764
"01/05";2838;3055;2875;2790;2527
"01/06";2731;2979;2763;2604;2662
"01/07";2703;2949;2544;2736;2801
"01/08";2800;2954;2659;2821;2831
"01/09";2748;3088;2589;2735;2913
"01/10";2846;3256;2805;2736;2881
"01/11";2865;3213;2705;2790;2678
"01/12";2787;3145;2731;2645;2611
"01/13";2804;3240;2679;2600;2755
"01/14";2764;3079;2602;2792;2826
"01/15";2810;3049;2754;2780;2682
"01/16";2820;3036;2849;2769;2877
"01/17";2751;3011;2731;2764;2688
"01/18";2792;2956;2831;2758;2685
"01/19";2777;3077;2803;2585;2583
"01/20";2736;3073;2645;2584;2629
"01/21";2766;3120;2574;2686;2696
"01/22";2785;2963;2763;2745;2683
"01/23";2865;3151;2761;2861;2723
"01/24";2888;3226;2816;2829;2831
"01/25";2887;3155;2796;2820;2666
"01/26";2863;3196;2804;2774;2640
"01/27";2807;3167;2640;2728;2800
"01/28";2812;3114;2591;2905;2886
"01/29";2868;3074;2897;2746;2833
"01/30";2877;3404;2728;2724;2755
"01/31";2895;3410;2878;2776;2900
"02/01";2948;3290;2826;2992;2789
"02/02";2933;3316;2811;2860;2721
"02/03";2891;3535;2764;2745;2728
"02/04";2865;3427;2654;2800;2883
"02/05";2911;3258;2835;2903;2668
"02/06";2916;3286;2784;2892;2585
"02/07";2956;3338;2983;2883;2737
"02/08";2907;3232;2887;2847;2695
"02/09";2890;3217;2871;2831;2610
"02/10";2942;3360;2872;2785;2835
"02/11";2866;3168;2854;2848;2819
"02/12";2907;3144;3012;2850;2770
"02/13";2983;3298;3041;2891;2782
"02/14";2916;3222;2965;2903;2780
"02/15";2983;3292;3031;2964;2789
"02/16";2945;3342;3105;2826;2729
"02/17";2936;3268;3000;2806;2795
"02/18";2990;3209;3100;2978;2639
"02/19";2968;3052;3201;2888;2713
"02/20";3053;3314;3237;2999;2713
"02/21";3016;3221;3284;2958;2647
"02/22";3070;3307;3291;2977;2655
"02/23";3046;3351;3378;2772;2642
"02/24";2928;3104;3269;2720;2751
"02/25";2970;3025;3228;2970;2764
"02/26";3021;2945;3457;2978;2756
"02/27";3031;3131;3469;2939;2698
"02/28";3023;2999;3590;2981;2879
"03/01";3151;3121;3713;3076;2620
"03/02";3106;2990;3703;2938;2815
"03/03";3095;2944;3863;2843;2865
"03/04";3103;2960;3740;2910;2763
"03/05";3088;2785;3932;2981;2748
"03/06";3101;2907;3881;2989;2858
"03/07";3085;2724;3881;3046;2674
"03/08";3034;2695;3722;2965;2683
"03/09";3047;2758;3876;2786;2850
