DATE	RKNANPATA666NRUG	RKNANPAUA666NRUG	RKNANPBEA666NRUG	RKNANPCAA666NRUG	RKNANPCHA666NRUG	RKNANPDEA666NRUG	RKNANPDKA666NRUG	RKNANPESA666NRUG	RKNANPFIA666NRUG	RKNANPFRA666NRUG	RKNANPGBA666NRUG	RKNANPGRA666NRUG	RKNANPIEA666NRUG	RKNANPISA666NRUG	RKNANPITA666NRUG	RKNANPJPA666NRUG	RKNANPLUA666NRUG	RKNANPNLA666NRUG	RKNANPNOA666NRUG	RKNANPNZA666NRUG	RKNANPPTA666NRUG	RKNANPSEA666NRUG	RKNANPTRA666NRUG	RKNANPUSA666NRUG
1950-01-01	336700.00000	639991.2500	715409.0625	741700.5000	691651.1250	1918304.625	251101.640625	760853.7500	101628.7578125	2593791.50	2162772.25		86886.4609375	8340.2490234375	1924604.000	972361.8125	38008.05078125	561767.8125	230437.750000	66947.8203125	200970.093750	571212.5000	160244.531250	10576814
1951-01-01	351388.15625	690113.5625	731287.0000	777442.5000	702278.5000	2051990.875	254378.687500	796258.5000	109726.5546875	2655761.25	2307417.25	464479.15625	93275.2421875	8616.2490234375	2001609.125	1025208.1875	39920.82421875	588476.9375	238632.890625	70915.0312500	208849.187500	594947.6250	164829.000000	10912329
1952-01-01	359218.62500	704562.4375	746504.3750	811696.8125	707798.2500	2209629.750	257754.046875	824298.3750	118960.8046875	2715599.25	2397405.75	454424.71875	97440.0625000	8932.7041015625	2075137.750	1064209.1250	42768.14062500	610409.9375	247351.718750	74368.4453125	218197.375000	613882.0625	173202.078125	11273330
1953-01-01	361311.18750	733107.3125	762698.2500	854122.3125	713657.1875	2367170.500	264377.343750	854186.0625	125378.4375000	2775167.75	2506864.00	448592.40625	102252.3046875	9344.7666015625	2167394.750	1099584.7500	46420.17968750	641546.3750	257547.234375	77048.9062500	230241.453125	630821.7500	182921.500000	11682796
1954-01-01	369493.37500	771454.2500	783743.3125	884597.4375	726833.0000	2552261.250	271738.093750	899272.3125	134408.7812500	2855737.50	2620023.50	440649.87500	106170.4921875	9818.3056640625	2268664.750	1143398.7500	49514.73437500	677658.2500	268053.562500	82362.5703125	241873.703125	654388.2500	193519.250000	12073594
1955-01-01	386548.43750	810403.5625	803018.3750	928225.5625	747444.9375	2808869.500	276585.718750	950117.7500	144646.0000000	2950121.25	2756357.00	435803.71875	111568.0781250	10598.1054687500	2398626.000	1199048.1250	52249.33984375	721008.1875	278909.937500	87113.9843750	251551.656250	680584.6250	205248.296875	12512253
1956-01-01	400126.65625	838407.6875	828550.5625	990494.3750	774207.0625	3062833.750	283528.187500	1007519.8125	155020.1406250	3061268.75	2887763.75	434393.21875	114324.0859375	11235.5429687500	2533390.000	1267903.1250	55113.95703125	770031.5625	288910.281250	91247.9531250	262945.656250	706131.3750	217377.234375	12946796
1957-01-01	414914.28125	867267.5625	852394.7500	1046541.5625	802370.3125	3313108.750	292237.312500	1067313.6250	164539.6875000	3189814.25	3022975.25	435075.31250	115483.8671875	11898.7480468750	2678227.000	1357632.5000	58728.16015625	819502.7500	298933.281250	95841.3750000	279380.281250	731604.2500	233713.734375	13370986
1958-01-01	429005.43750	905469.2500	866390.0000	1094171.6250	817642.8125	3556768.000	298865.250000	1134248.5000	173028.3750000	3332971.50	3138801.75	438519.53125	116416.7031250	12701.4677734375	2824836.500	1443924.2500	62139.00000000	857964.8125	309185.562500	100133.2421875	294309.968750	757497.2500	257229.140625	13754813
1959-01-01	443595.65625	947253.1250	887441.3125	1147582.7500	841324.1250	3847527.000	312319.093750	1171582.7500	182978.6875000	3465297.75	3272733.50	444000.15625	120507.1093750	13535.5722656250	2989312.250	1551703.8750	65038.15234375	903111.9375	317803.062500	104443.1875000	309538.281250	786654.0625	275472.093750	14239895
1960-01-01	467950.21875	989916.6875	912627.4375	1198070.1250	875999.5625	4206044.000	329005.781250	1219720.6250	196042.3906250	3638361.50	3447929.75	452221.56250	123774.3750000	14292.2802734375	3190284.000	1707237.5000	68226.60156250	955168.9375	326370.437500	109075.7656250	331912.250000	824137.7500	292438.937500	14711919
1961-01-01	492991.50000	1020954.0625	945409.5000	1246689.8750	920592.6875	4558495.500	346121.406250	1296630.3750	210277.2500000	3812752.50	3622415.25	469115.90625	128247.8671875	14991.7871093750	3419661.000	1906431.8750	71978.96093750	1009822.0625	337331.593750	114403.7734375	359841.375000	861607.4375	309569.093750	15205273
1962-01-01	514682.40625	1061094.7500	979162.3125	1302543.0000	965074.5000	4910170.500	365640.687500	1398660.0000	223120.4218750	4006590.25	3770085.00	483355.68750	133836.0000000	15553.1142578125	3662203.000	2115536.7500	75866.56250000	1065242.1250	347372.531250	118931.1406250	383244.000000	899011.5000	327902.750000	15759578
1963-01-01	536423.31250	1102491.5000	1011013.1875	1360152.7500	1008587.8125	5237584.000	380850.968750	1508939.7500	233533.7968750	4212690.00	3922392.75	507000.34375	140366.7343750	16473.2460937500	3915071.000	2346088.5000	79335.35156250	1119012.3750	356800.937500	124228.1328125	410756.812500	937251.0625	349138.343750	16361411
1964-01-01	565436.56250	1152808.7500	1056852.8750	1426171.3750	1056733.1250	5621086.000	403685.500000	1624396.3750	245218.2500000	4451620.50	4161111.50	535166.25000	147923.9218750	17748.3847656250	4125273.250	2616576.0000	83148.99218750	1189915.0000	366943.625000	130958.7421875	440934.343750	986027.2500	370270.781250	17023690
1965-01-01	594205.50000	1196973.5000	1100297.5000	1508542.5000	1097825.6250	6022950.500	428401.843750	1762575.6250	260697.9218750	4688170.00	4386783.50	570892.75000	156493.2812500	19123.8417968750	4303450.000	2886455.2500	86333.35937500	1263102.5000	379963.406250	139566.0781250	476933.281250	1038573.6250	390744.750000	17752528
