DATE;LFEMTTTTATQ647S;LFEMTTTTAUQ647S;LFEMTTTTBEQ647S;LFEMTTTTCAQ647S;LFEMTTTTCHQ647S;LFEMTTTTDEQ647S;LFEMTTTTDKQ647S;LFEMTTTTESQ647S;LFEMTTTTFIQ647S;LFEMTTTTFRQ647S;LFEMTTTTGBQ647S;LFEMTTTTGRQ647S;LFEMTTTTIEQ647S;LFEMTTTTISQ647S;LFEMTTTTITQ647S;LFEMTTTTJPQ647S;LFEMTTTTLUQ647S;LFEMTTTTNLQ647S;LFEMTTTTNOQ647S;LFEMTTTTNZQ647S;LFEMTTTTPTQ647S;LFEMTTTTSEQ647S;LFEMTTTTTRQ647S;LFEMTTTTUSQ647S
1960-01-01;;;;5943021,8248634500;;;;;;;;;;;;43906666,6666667;;;;;;;;65213333,3333333
1960-04-01;;;;5941068,6697913400;;;;;;;;;;;;44243333,3333333;;;;;;;;66061333,3333334
1960-07-01;;;;5972413,3782816500;;;;;;;;;;;;44673333,3333333;;;;;;;;66023666,6666666
1960-10-01;;;;6003765,5282524400;;;;;;;;;;;;44686666,6666667;;;;;;;;65839666,6666666
1961-01-01;;;;5968072,2560354600;;;;;;;;;;;;44996666,6666667;;;;;;;;65738000,0000000
1961-04-01;;;;6038898,4095203200;;;;;;;;;;;;44703333,3333333;;;;;;;;65605333,3333334
1961-07-01;;;;6073162,9024073300;;;;;;;;;;;;44946666,6666667;;;;;;;;65667000,0000000
1961-10-01;;;;6137286,8405186200;;;;;;;;;;;;45300000,0000000;;;;;;;;65966666,6666666
1962-01-01;;;;6173229,4339151200;;34013152,892647500;;;;;;;;;;45436666,6666667;;;;;;;;66379666,6666666
1962-04-01;;;;6237137,8485271100;;34009301,663095200;;;;;;;;;;45496666,6666667;;;;;;;;66576666,6666666
1962-07-01;;;;6246579,7112446200;;34046040,520045700;;;;;;;;;;45643333,3333333;;;;;;;;66881000,0000000
1962-10-01;;;;6243090,4122369800;;33993159,995079600;;;;;;;;;;45673333,3333333;;;;;;;;66969333,3333334
1963-01-01;;;;6263835,0147707800;;34006198,852960000;;;;;;;;;;45413333,3333333;;;;;;;;67149000,0000000
1963-04-01;;;;6318307,2768084800;;34115277,475676900;;;;;;;;;;45890000,0000000;;;;;;;;67635333,3333333
1963-07-01;;;;6415867,6026591700;;34032607,048370900;;;;;;;;;;46133333,3333333;;;;;;;;67995666,6666667
1963-10-01;;;;6498259,1758727500;;34051183,991917100;;;;;;;;;;46316666,6666667;;;;;;;;68258000,0000000
1964-01-01;;;;6558723,5969273300;;33966756,766447000;;;;;;;;;;46430000,0000000;;;;;;;;68613666,6666667
