DATE	NYGDPPCAPKDCHN	NYGDPPCAPKDCYP	NYGDPPCAPKDPAN	POPTOTCNA647NWDB	POPTOTCYA647NWDB	POPTOTPAA647NWDB
1960-01-01	238.216631254768		2708.60093847977	667070000	572933	1133005
1961-01-01	175.023372304265		2916.73532340224	660330000	576402	1167120
1962-01-01	163.906754298747		3064.45591632850	665770000	577696	1202447
1963-01-01	176.400144188262		3228.27477897120	682335000	577918	1238893
1964-01-01	203.687474412379		3272.46576695295	698355000	578628	1276331
1965-01-01	232.606795957080		3468.02624361464	715185000	580972	1314679
1966-01-01	250.304460571181		3623.01150660911	735400000	585313	1353847
1967-01-01	229.875868065371		3820.08403656809	754550000	591301	1393824
1968-01-01	214.769686609804		3970.26060296783	774510000	598495	1434676
1969-01-01	244.363532682577		4183.50273516060	796025000	606121	1476481
1970-01-01	283.584855403322		4348.57170790894	818315000	613618	1519286
1971-01-01	295.379649233061		4633.14453858128	841105000	620860	1563093
1972-01-01	299.190359719284		4710.74689053635	862030000	628002	1607797
1973-01-01	315.129106853377		4827.10798383129	881940000	635105	1653208
1974-01-01	315.816106158208		4811.84532174084	900350000	642322	1699056
1975-01-01	337.343523152952	7359.99811240463	4766.33143999580	916395000	649753	1745142
1976-01-01	326.948883005765	8923.62031539645	4720.56813588204	930685000	657524	1791389
1977-01-01	346.938543185464	10382.45160512500	4651.68687816905	943455000	665521	1837804
1978-01-01	381.098656321566	11148.50497681950	4980.85146616451	956165000	673253	1884427
1979-01-01	404.595917871102	12157.92959290980	5079.37537687778	969005000	680010	1931302
1980-01-01	430.854648739046	12718.48797637590	5606.99116173722	981235000	685408	1978489
1981-01-01	447.118996663539	12823.90213534900	5979.72610848118	993885000	689170	2025965
1982-01-01	480.310474010796	13436.18081227790	6154.39585856707	1008630000	691716	2073748
1983-01-01	524.408436893203	14069.70273893100	5744.69146593046	1023310000	694076	2121863
1984-01-01	596.200055951351	15104.91703411870	5768.57812951562	1036825000	697715	2170330
1985-01-01	667.127363525023	15650.99552652530	5920.36404848012	1051040000	703694	2219200
1986-01-01	716.104075086962	16045.62072778030	5998.33579460928	1066790000	712335	2268500
1987-01-01	786.863491695095	16993.47941091480	5763.40370290885	1084035000	723384	2318259
1988-01-01	861.191965465324	18268.12387499890	4886.25694897722	1101630000	736476	2368556
1989-01-01	883.762594105905	19440.84802886130	4858.25464676472	1118650000	751043	2419424
1990-01-01	905.030858570453	20440.10168221240	5142.21999821721	1135185000	766616	2470946
1991-01-01	975.461192526886	20065.07834788600	5510.22871193854	1150780000	783121	2523115
1992-01-01	1100.644171742380	21374.89357290260	5839.87317726888	1164970000	800610	2575949
1993-01-01	1239.127184492600	21010.95873790380	6032.86864466376	1178440000	818750	2629584
1994-01-01	1384.927711029220	21795.12995302250	6078.75152094884	1191835000	837104	2684117
1995-01-01	1520.026784502030	23193.40502317140	6059.81880597032	1204855000	855391	2739667
1996-01-01	1653.430868345050	23111.67480318850	6179.32585274396	1217550000	873426	2796291
1997-01-01	1787.763819181400	23388.14233166420	6445.76024841069	1230075000	891190	2853907
1998-01-01	1909.618955361090	24514.92313455030	6780.20512117525	1241935000	908710	2912318
1999-01-01	2038.202873851070	25453.74674491060	6906.17602061462	1252735000	926049	2971197
2000-01-01	2193.892991205900	26686.76726813020	6955.27311561095	1262645000	943288	3030333
2001-01-01	2359.568217275390	27444.17045751730	6860.93689761926	1271850000	960274	3089641
2002-01-01	2557.887093869070	28141.54537840550	6881.23894654579	1280400000	976968	3149195
2003-01-01	2797.171718303870	28530.91688012870	7036.86988741049	1288400000	993562	3209056
2004-01-01	3061.827764342970	29566.82064051860	7426.63806346596	1296075000	1010410	3269356
2005-01-01	3390.710170235400	30558.42237527650	7815.21160769068	1303720000	1027657	3330222
2006-01-01	3800.759082409110	31469.46024238680	8337.57088110956	1311020000	1045508	3391673
2007-01-01	4319.023768548220	32377.07330937630	9169.13714938571	1317885000	1063708	3453671
2008-01-01	4711.635126761170	32725.63361828660	9893.67833386329	1324655000	1081568	3516204
2009-01-01	5128.895068250240	31216.76786050420	9840.31578935390	1331260000	1098089	3579215
2010-01-01	5647.058752390190	31023.63833097910	10232.32720579820	1337705000	1112617	3642691
2011-01-01	6156.828595848570	30363.50848965730	11193.96515870660	1344130000	1124837	3706479
2012-01-01	6608.707121649550	28873.62127734500	12079.48649973100	1350695000	1135046	3770635
2013-01-01	7086.874142554800	27044.30464202990	12695.23445272160	1357380000	1143866	3835447
2014-01-01	7574.679931412480	26843.41545702500	13113.24222716740	1364270000	1152297	3901311
2015-01-01	8066.942634932060	27865.59322416510	13630.32286839580	1371220000	1160987	3968490
2016-01-01	8572.882133437340	29523.86515247120	14062.43613043240	1378665000	1170189	4037073
2017-01-01	9117.337711491660	30758.31230955390	14596.70847544520	1386395000	1179685	4106764
2018-01-01	9688.466859362940	31977.80964827920	14868.11029263560	1392730000	1189262	4176868
2019-01-01	10228.292811471000	32517.23727589890	15069.06581851320	1397715000	1198574	4246440
2020-01-01	10430.730046943000	30438.46751613680	12168.47055610990	1402112000	1207361	4314768
