DATE,RKNANPCYA666NRUG
1950-01-01,26312.84375
1951-01-01,27141.205078125
1952-01-01,28045.3515625
1953-01-01,29278.578125
1954-01-01,31372.587890625
1955-01-01,33691.0234375
1956-01-01,35957.140625
1957-01-01,37992.9296875
1958-01-01,38579.44921875
1959-01-01,39429.72265625
1960-01-01,39895.28515625
1961-01-01,40975.7109375
1962-01-01,43137.1484375
1963-01-01,44923.7734375
1964-01-01,45455.47265625
1965-01-01,47401.421875
1966-01-01,49129.87890625
1967-01-01,51174.8984375
1968-01-01,53160.13671875
1969-01-01,56173.28515625
1970-01-01,59070.046875
1971-01-01,61838.11328125
1972-01-01,64707.1484375
1973-01-01,67392.9609375
1974-01-01,68321.40625
1975-01-01,67698.4765625
1976-01-01,67783.1015625
1977-01-01,70062.34375
1978-01-01,73327.1875
1979-01-01,77371.125
1980-01-01,81479.3203125
1981-01-01,84847.015625
1982-01-01,88259.421875
1983-01-01,91305.3984375
1984-01-01,95566.953125
1985-01-01,98822.3125
1986-01-01,101405.4765625
1987-01-01,104279.140625
1988-01-01,107811.9453125
1989-01-01,112657.015625
1990-01-01,116809.390625
1991-01-01,120651.9453125
1992-01-01,125796.78125
1993-01-01,129326.9140625
1994-01-01,132294.203125
1995-01-01,135130.203125
1996-01-01,137589.71875
1997-01-01,140406.421875
1998-01-01,141933.734375
1999-01-01,144620.90625
2000-01-01,147153.25
2001-01-01,149633.359375
2002-01-01,152967.890625
2003-01-01,156386.890625
2004-01-01,160309.078125
2005-01-01,164816.703125
2006-01-01,171244.640625
2007-01-01,178305.34375
2008-01-01,186131.5
2009-01-01,191814.515625
2010-01-01,197086.375
2011-01-01,200822.359375
2012-01-01,202457.015625
2013-01-01,202821.59375
2014-01-01,202506.390625
2015-01-01,202255.796875
2016-01-01,204902.28125
2017-01-01,209223.359375
2018-01-01,212374.328125
2019-01-01,215441.265625
