DATE,RKNANPILA666NRUG
1950-01-01,64826.3203125
1951-01-01,69927.9609375
1952-01-01,73797.5234375
1953-01-01,76451.5625
1954-01-01,79671.9921875
1955-01-01,84202.46875
1956-01-01,88130.765625
1957-01-01,93097.3359375
1958-01-01,98437.796875
1959-01-01,104352.90625
1960-01-01,110454.3125
1961-01-01,118100.1875
1962-01-01,126602.203125
1963-01-01,135133.6875
1964-01-01,146020.5625
1965-01-01,156034.171875
1966-01-01,165651.109375
1967-01-01,172278.109375
1968-01-01,175552.0625
1969-01-01,183942.984375
1970-01-01,196145.921875
1971-01-01,211879.21875
1972-01-01,229645.3125
1973-01-01,247958.1875
1974-01-01,264152.21875
1975-01-01,280859.6875
1976-01-01,293239.5625
1977-01-01,303207.0625
1978-01-01,313244.5625
1979-01-01,325657.15625
1980-01-01,334058.84375
1981-01-01,341586.8125
1982-01-01,352041.53125
1983-01-01,364305.8125
1984-01-01,373842.3125
1985-01-01,379746.375
1986-01-01,386889.0625
1987-01-01,394869.90625
1988-01-01,402667.8125
1989-01-01,409586.75
1990-01-01,422324.59375
1991-01-01,446565.53125
1992-01-01,471971.90625
1993-01-01,498642.5625
1994-01-01,527091.8125
1995-01-01,559829.25
1996-01-01,595486.8125
1997-01-01,629412.3125
1998-01-01,659279.3125
1999-01-01,687623.4375
2000-01-01,715505.3125
2001-01-01,739583.0
2002-01-01,758867.1875
2003-01-01,774196.125
2004-01-01,789707.3125
2005-01-01,805459.8125
2006-01-01,824020.9375
2007-01-01,846294.375
2008-01-01,869309.4375
2009-01-01,889114.6875
2010-01-01,912672.4375
2011-01-01,942868.5625
2012-01-01,974299.0
2013-01-01,1006628.8125
2014-01-01,1037837.1875
2015-01-01,1067842.625
2016-01-01,1106156.25
2017-01-01,1146041.625
2018-01-01,1187814.375
2019-01-01,1228059.125
