DATE,RKNANPPAA666NRUG
1950-01-01,6651.74755859375
1951-01-01,6895.19775390625
1952-01-01,7151.505859375
1953-01-01,7642.74853515625
1954-01-01,7981.77783203125
1955-01-01,8405.126953125
1956-01-01,8974.212890625
1957-01-01,9539.6103515625
1958-01-01,10199.0751953125
1959-01-01,10963.314453125
1960-01-01,11594.779296875
1961-01-01,12484.6708984375
1962-01-01,13504.142578125
1963-01-01,14660.28125
1964-01-01,15614.0078125
1965-01-01,16730.38671875
1966-01-01,18359.0703125
1967-01-01,20022.205078125
1968-01-01,21917.474609375
1969-01-01,24105.783203125
1970-01-01,27345.00390625
1971-01-01,31002.845703125
1972-01-01,35595.17578125
1973-01-01,39908.5625
1974-01-01,43333.22265625
1975-01-01,46998.9296875
1976-01-01,50598.87109375
1977-01-01,52059.92578125
1978-01-01,54393.875
1979-01-01,56537.8203125
1980-01-01,59549.5078125
1981-01-01,63694.3046875
1982-01-01,67833.484375
1983-01-01,69791.3046875
1984-01-01,71146.7890625
1985-01-01,72252.828125
1986-01-01,74378.921875
1987-01-01,76914.9921875
1988-01-01,75948.7890625
1989-01-01,74220.1796875
1990-01-01,73334.65625
1991-01-01,74547.921875
1992-01-01,77448.203125
1993-01-01,82611.3046875
1994-01-01,87825.6171875
1995-01-01,93334.3515625
1996-01-01,98167.421875
1997-01-01,103309.609375
1998-01-01,109482.734375
1999-01-01,116409.0
2000-01-01,121985.78125
2001-01-01,124309.875
2002-01-01,126128.1171875
2003-01-01,129868.453125
2004-01-01,134467.125
2005-01-01,139585.328125
2006-01-01,146333.8125
2007-01-01,158256.09375
2008-01-01,173807.703125
2009-01-01,188092.265625
2010-01-01,204420.09375
2011-01-01,224467.78125
2012-01-01,251210.734375
2013-01-01,285314.6875
2014-01-01,322693.78125
2015-01-01,362549.15625
2016-01-01,402524.0
2017-01-01,445156.625
2018-01-01,486540.1875
2019-01-01,524968.9375
