date;USA;FRA;CHN;JPN;GBR;ISR;AUT;CYP;CHE;CAN;ESP;TWN;AUS;BEL
Q1 1948;57976;;;;;;;;;;;;;
Q2 1948;58296;;;;;;;;;;;;;
Q3 1948;58646;;;;;;;;;;;;;
Q4 1948;58515;;;;;;;;;;;;;
Q1 1949;58142;19556;;;;;;;;;;;;
Q2 1949;57490;19553;;;;;;;;;;;;
Q3 1949;57390;19546;;;;;;;;;;;;
Q4 1949;57708;19536;;;;;;;;;;;;
Q1 1950;57705;19522;;;;;;;;;;;;
Q2 1950;58761;19523;;;;;;;;;;;;
Q3 1950;59458;19539;;;;;;;;;;;;
Q4 1950;59643;19570;;;;;;;;;;;;
Q1 1951;59899;19616;;;;;;;;;;;;
Q2 1951;59899;19658;;;;;;;;;;;;
Q3 1951;59954;19694;;;;;;;;;;;;
Q4 1951;60114;19726;;;;;;;;;;;;
Q1 1952;60277;19752;;;;;;;;;;;;
Q2 1952;60108;19763;;;;;;;;;;;;
Q3 1952;60094;19759;;;;;;;;;;;;
Q4 1952;60611;19738;207290;;;;;;;;;;;
Q1 1953;61831;19702;208878;39693;;;;;;;;;;
Q2 1953;61306;19678;210465;38590;;;;;;;;;;
Q3 1953;61151;19667;212053;38963;;;;;;;;;;
Q4 1953;60536;19669;213640;39457;;;;;;;;;;
Q1 1954;60291;19684;214810;39220;;;;;;;;;;
Q2 1954;59962;19704;215980;39623;;;;;;;;;;
Q3 1954;59926;19729;217150;39820;;;;;;;;;;
Q4 1954;60248;19760;218320;39867;;;;;;;;;;
Q1 1955;60815;19796;219560;40037;;;;;;;;;;
Q2 1955;61643;19841;220800;40857;;;;;;;;;;
Q3 1955;62753;19896;222040;41103;;;;;;;;;;
Q4 1955;63311;19959;223280;41530;;;;;;;;;;
Q1 1956;63561;20032;225005;41367;;;;;;;;;;
Q2 1956;63765;20098;226730;41787;;;;;;;;;;
Q3 1956;63950;20156;228455;41787;;;;;;;;;;
Q4 1956;63894;20207;230180;41933;;;;;;;;;;
Q1 1957;64098;20250;232063;42880;;;;;;;;;;
Q2 1957;64076;20278;233945;42353;;;;;;;;;;
Q3 1957;64207;20291;235828;42903;;;;;;;;;;
Q4 1957;63879;20288;237710;43130;;;;;;;;;;
Q1 1958;62950;20269;244783;43023;;;;;;;;;;
Q2 1958;62745;20245;251855;42910;;;;;;;;;;
Q3 1958;62979;20216;258928;42860;;;;;;;;;;
Q4 1958;63498;20181;266000;43150;;;;;;;;;;
Q1 1959;63940;20141;264933;43020;25436;;;;;;;;;
Q2 1959;64772;20116;263865;43497;25555;;;;;;;;;
Q3 1959;64875;20107;262798;43400;25660;;;;;;;;;
Q4 1959;64927;20114;261730;43500;25751;;;;;;;;;
Q1 1960;65213;20136;260998;43907;25905;;;;;;;;;
Q2 1960;66061;20152;260265;44243;26015;;;;;;;;;
Q3 1960;66024;20161;259533;44673;26060;;;;;;;;;
Q4 1960;65840;20163;258800;44687;26246;;;;;;;;;
Q1 1961;65738;20158;258075;44997;26345;;;;;;;;;
Q2 1961;65605;20151;257350;44703;26312;;;;;;;;;
Q3 1961;65667;20142;256625;44947;26374;;;;;;;;;
Q4 1961;65967;20130;255900;45300;26301;;;;;;;;;
Q1 1962;66380;20116;256700;45437;26450;;;;;;;;;
Q2 1962;66577;20115;257500;45497;26506;;;;;;;;;
Q3 1962;66881;20129;258300;45643;26485;;;;;;;;;
Q4 1962;66969;20157;259100;45673;26415;;;;;;;;;
Q1 1963;67149;20198;260925;45413;26328;;;;;;;;;
Q2 1963;67635;20247;262750;45890;26542;;;;;;;;;
Q3 1963;67996;20303;264575;46133;26565;;;;;;;;;
Q4 1963;68258;20367;266400;46317;26708;;;;;;;;;
Q1 1964;68614;20437;269140;46430;26759;;;;;;;;;
Q2 1964;69402;20489;271880;46527;26861;;;;;;;;;
Q3 1964;69480;20521;274620;46517;26984;;;;;;;;;
Q4 1964;69710;20534;277360;46780;27061;;;;;;;;;
Q1 1965;70188;20529;279695;47103;27117;;;;;;;;;
Q2 1965;70897;20538;282030;47043;27146;;;;;;;;;
Q3 1965;71369;20562;284365;47427;27165;;;;;;;;;
Q4 1965;71827;20602;286700;47633;27285;;;;;;;;;
Q1 1966;72173;20656;289538;48073;27332;;;;;;;;;
Q2 1966;72594;20702;292375;48180;27324;;;;;;;;;
Q3 1966;73088;20739;295213;48353;27331;;;;;;;;;
Q4 1966;73657;20767;298050;48527;27084;;;;;;;;;
Q1 1967;73572;20787;300573;48700;26933;;;;;;;;;
Q2 1967;74001;20789;303095;49297;26958;;;;;;;;;
Q3 1967;74714;20775;305618;49363;26997;;;;;;;;;
Q4 1967;75216;20744;308140;49450;26874;;;;;;;;;
Q1 1968;75103;20696;310893;49613;26830;;;;;;;;;
Q2 1968;75950;20687;313645;49950;26808;;;;;;;;;
Q3 1968;76101;20716;316398;50150;26834;;;;;;;;;
Q4 1968;76499;20785;319150;50380;26844;;;;;;;;;
Q1 1969;77166;20892;322425;50173;26836;934;;;;;;;;
Q2 1969;77605;20992;325700;50330;26843;946;;;;;;;;
Q3 1969;78153;21083;328975;50547;26841;949;;;;;;;;
Q4 1969;78575;21167;332250;50607;26812;954;;;;;;;;
Q1 1970;78780;21242;335268;50780;26844;951;2359;;;;;;;
Q2 1970;78636;21302;338285;50947;26747;962;2381;242;;;;;;
Q3 1970;78616;21346;341303;51090;26693;963;2401;243;;;;;;
Q4 1970;78643;21375;344320;50973;26631;977;2416;244;;;;;;
Q1 1971;78717;21389;347290;51280;26427;983;2429;245;;;;;;
Q2 1971;78961;21405;350260;51277;26408;984;2446;246;;;;;;
Q3 1971;79511;21424;353230;51163;26219;1008;2467;247;;;;;;
Q4 1971;80229;21446;356200;51177;26205;1014;2477;248;;;;;;
Q1 1972;81213;21471;356785;51133;26402;1036;2489;249;;;;;;
Q2 1972;81875;21511;357370;51073;26396;1041;2504;250;;;;;;
Q3 1972;82450;21567;357955;51620;26514;1051;2520;251;;;;;;
Q4 1972;83002;21637;358540;51950;26688;1060;2538;251;;;;;;
Q1 1973;83842;21723;360535;52647;27035;1082;2569;252;;;;;;
Q2 1973;84797;21807;362530;52270;27023;1092;2604;253;;;;;;
Q3 1973;85330;21888;364525;52523;27055;1096;2619;243;;;;;;
Q4 1973;86236;21966;366520;52910;27083;1109;2641;233;;;;;;
Q1 1974;86709;22042;368313;52503;27055;1094;2646;224;;;;;;
Q2 1974;86834;22074;370105;52573;27113;1104;2653;214;;;;;;
Q3 1974;87079;22064;371898;52207;27211;1098;2658;194;;;;;;
Q4 1974;86588;22010;373690;52180;27154;1092;2670;174;;;;;;
Q1 1975;85357;21913;375688;51953;27066;1099;2667;155;3455;;;;;
Q2 1975;85332;21859;377685;52207;27023;1109;2652;135;3392;;;;;
Q3 1975;86136;21849;379683;52383;26954;1117;2653;138;3325;;;;;
Q4 1975;86497;21883;381680;52377;26881;1125;2654;141;3276;;;;;
Q1 1976;87686;21960;383345;52650;26804;1120;2661;143;3257;9667;;;;
Q2 1976;88591;22030;385010;52437;26784;1127;2678;146;3248;9738;;;;
Q3 1976;89163;22093;386675;52823;26775;1134;2696;151;3242;9778;12747;;;
Q4 1976;89570;22148;388340;52920;26816;1126;2709;155;3243;9825;12636;;;
Q1 1977;90359;22195;389698;53120;26823;1134;2722;159;3249;9870;12633;;;
