Name;TUN;IND;THA
1966;897,6;;
1967;;;
1968;;;
1969;;;
1970;;;
1971;;17491;
1972;;18075;
1973;;18824;
1974;;19280;
1975;1276,3;19672;
1976;;20207;
1977;;20743;18137,95
1978;;21484;19215,6
1979;;21884;19021,55
1980;;22305;22523,9
1981;;22879,4;20873,5
1982;;23493,1;24831,4
1983;;24008;22911,6
1984;1639,5;24214;24159,45
1985;;24578;24227,45
1986;;25056;25085,75
1987;;25388,2;26413,8
1988;;25712;27726,5
1989;1871;25962;28456,5
1990;;26353;30843,7
1991;;26733;29220,25
1992;;27056;30794
1993;;27177;30679
1994;2150,5;27375;30164,25
1995;;27987;30815,05
1996;;27779;30976,25
1997;2334,3;28519,3;31522,3
1998;;28151;30104,5
1999;2473,7;28113;30663,28
2000;2552,7;27960;31292,6
2001;2632,7;27790;32104,25
2002;2695,9;27205,3;33060,87
2003;2788,2;27000,2;33841,03
2004;2854,7;26442,7;34728,81
2005;2928,5;26458,4;35257,17
2006;3004,9;26993;35685,53
2007;3085,1;27276;36249,46
2008;3155,4;27548;37016,61
2009;3198,9;28172;37706,32
2010;3277,4;28708;38037,34
2011;3170,7;28999;38464,66
2012;3255,8;29579;38941,1
2013;3368,7;;38906,88
2014;3413,7;;38077,43
2015;3402;;38016,17
2016;3436,7;;37692,65
2017;3480;;37458,25
2018;3507,6;;37864,55
2019;3566,4;;37613,44
2020;3433,4;;37680,2
