date;PAN
15-6-1970;172
15-7-1970;174
15-8-1970;175
15-9-1970;177
15-10-1970;178
15-11-1970;180
15-12-1970;181
15-1-1971;183
15-2-1971;184
15-3-1971;186
15-4-1971;188
15-5-1971;189
15-6-1971;191
15-7-1971;192
15-8-1971;192
15-9-1971;193
15-10-1971;194
15-11-1971;195
15-12-1971;196
15-1-1972;197
15-2-1972;198
15-3-1972;199
15-4-1972;199
15-5-1972;200
15-6-1972;201
15-7-1972;202
15-8-1972;203
15-9-1972;204
15-10-1972;205
15-11-1972;206
15-12-1972;207
15-1-1973;208
15-2-1973;209
15-3-1973;210
15-4-1973;211
15-5-1973;212
15-6-1973;213
15-7-1973;210
15-8-1973;208
15-9-1973;205
15-10-1973;202
15-11-1973;199
15-12-1973;197
15-1-1974;194
15-2-1974;191
15-3-1974;189
15-4-1974;186
15-5-1974;183
15-6-1974;180
15-7-1974;185
15-8-1974;189
15-9-1974;193
15-10-1974;197
15-11-1974;202
15-12-1974;206
15-1-1975;210
15-2-1975;214
15-3-1975;219
15-4-1975;223
15-5-1975;227
15-6-1975;231
15-7-1975;231
15-8-1975;231
15-9-1975;231
15-10-1975;231
15-11-1975;230
15-12-1975;230
15-1-1976;230
15-2-1976;230
15-3-1976;230
15-4-1976;230
15-5-1976;229
15-6-1976;229
15-7-1976;229
15-8-1976;229
15-9-1976;229
15-10-1976;229
15-11-1976;228
15-12-1976;228
15-1-1977;228
15-2-1977;228
15-3-1977;228
15-4-1977;228
15-5-1977;227
15-6-1977;227
15-7-1977;226
15-8-1977;225
15-9-1977;224
15-10-1977;223
15-11-1977;222
15-12-1977;221
15-1-1978;220
15-2-1978;219
15-3-1978;218
15-4-1978;217
15-5-1978;216
15-6-1978;215
15-7-1978;220
15-8-1978;224
15-9-1978;229
15-10-1978;233
15-11-1978;237
15-12-1978;242
15-1-1979;246
15-2-1979;251
15-3-1979;255
15-4-1979;259
15-5-1979;264
15-6-1979;268
15-7-1979;271
15-8-1979;273
15-9-1979;275
15-10-1979;278
15-11-1979;280
15-12-1979;282
15-1-1980;285
15-2-1980;287
15-3-1980;289
15-4-1980;292
15-5-1980;294
15-6-1980;297
15-7-1980;300
15-8-1980;304
15-9-1980;307
15-10-1980;311
15-11-1980;315
15-12-1980;318
15-1-1981;322
15-2-1981;325
15-3-1981;329
15-4-1981;333
15-5-1981;336
15-6-1981;340
15-7-1981;343
15-8-1981;346
15-9-1981;348
15-10-1981;351
15-11-1981;354
15-12-1981;357
15-1-1982;360
15-2-1982;363
15-3-1982;366
15-4-1982;368
15-5-1982;371
15-6-1982;374
15-7-1982;374
15-8-1982;375
15-9-1982;375
15-10-1982;375
15-11-1982;375
15-12-1982;375
15-1-1983;376
15-2-1983;376
15-3-1983;376
15-4-1983;376
15-5-1983;376
15-6-1983;377
15-7-1983;358
15-8-1983;340
15-9-1983;322
15-10-1983;304
15-11-1983;286
15-12-1983;267
15-1-1984;249
15-2-1984;231
15-3-1984;213
15-4-1984;194
15-5-1984;176
15-6-1984;158
15-7-1984;158
15-8-1984;159
15-9-1984;159
15-10-1984;160
15-11-1984;160
15-12-1984;161
15-1-1985;161
15-2-1985;162
15-3-1985;162
15-4-1985;163
15-5-1985;163
15-6-1985;164
15-7-1985;180
15-8-1985;197
15-9-1985;213
15-10-1985;230
15-11-1985;246
15-12-1985;263
15-1-1986;279
15-2-1986;296
15-3-1986;312
15-4-1986;329
15-5-1986;345
15-6-1986;362
15-7-1986;346
15-8-1986;331
15-9-1986;315
15-10-1986;299
15-11-1986;283
15-12-1986;268
15-1-1987;252
15-2-1987;236
15-3-1987;221
15-4-1987;205
15-5-1987;189
15-6-1987;173
15-7-1987;173
15-8-1987;172
15-9-1987;172
15-10-1987;172
15-11-1987;171
15-12-1987;171
15-1-1988;170
15-2-1988;170
15-3-1988;169
15-4-1988;169
15-5-1988;168
15-6-1988;168
15-7-1988;168
15-8-1988;167
15-9-1988;167
15-10-1988;167
15-11-1988;167
15-12-1988;167
15-1-1989;166
15-2-1989;166
15-3-1989;166
15-4-1989;166
15-5-1989;165
15-6-1989;165
15-7-1989;164
15-8-1989;163
15-9-1989;162
15-10-1989;161
15-11-1989;160
15-12-1989;159
15-1-1990;158
15-2-1990;157
15-3-1990;156
15-4-1990;155
15-5-1990;154
15-6-1990;153
15-7-1990;167
15-8-1990;182
15-9-1990;196
15-10-1990;211
15-11-1990;225
15-12-1990;240
15-1-1991;254
15-2-1991;269
15-3-1991;283
15-4-1991;298
15-5-1991;312
15-6-1991;327
15-7-1991;330
15-8-1991;334
15-9-1991;337
15-10-1991;341
15-11-1991;344
15-12-1991;348
15-1-1992;351
15-2-1992;355
15-3-1992;358
15-4-1992;362
15-5-1992;365
15-6-1992;369
15-7-1992;369
15-8-1992;369
15-9-1992;369
15-10-1992;369
15-11-1992;369
15-12-1992;369
15-1-1993;369
15-2-1993;369
15-3-1993;368
15-4-1993;368
15-5-1993;368
15-6-1993;368
15-7-1993;371
15-8-1993;374
15-9-1993;377
15-10-1993;380
15-11-1993;383
15-12-1993;386
15-1-1994;389
15-2-1994;392
15-3-1994;395
15-4-1994;398
15-5-1994;401
15-6-1994;404
15-7-1994;406
15-8-1994;408
15-9-1994;410
15-10-1994;412
15-11-1994;414
15-12-1994;416
15-1-1995;418
15-2-1995;420
15-3-1995;423
15-4-1995;425
15-5-1995;427
15-6-1995;429
15-7-1995;432
15-8-1995;434
15-9-1995;437
15-10-1995;440
15-11-1995;443
15-12-1995;446
15-1-1996;449
15-2-1996;451
15-3-1996;454
15-4-1996;457
15-5-1996;460
15-6-1996;463
15-7-1996;462
15-8-1996;461
15-9-1996;460
15-10-1996;459
15-11-1996;459
15-12-1996;458
15-1-1997;457
15-2-1997;456
15-3-1997;455
15-4-1997;455
15-5-1997;454
15-6-1997;453
15-7-1997;459
15-8-1997;466
15-9-1997;472
15-10-1997;478
15-11-1997;484
15-12-1997;490
15-1-1998;497
15-2-1998;503
15-3-1998;509
15-4-1998;515
15-5-1998;522
15-6-1998;528
15-7-1998;530
15-8-1998;532
15-9-1998;534
15-10-1998;536
15-11-1998;538
15-12-1998;540
15-1-1999;542
15-2-1999;545
15-3-1999;547
15-4-1999;549
15-5-1999;551
15-6-1999;553
15-7-1999;551
15-8-1999;550
15-9-1999;549
15-10-1999;547
15-11-1999;546
15-12-1999;544
15-1-2000;543
15-2-2000;542
15-3-2000;540
15-4-2000;539
15-5-2000;537
15-6-2000;536
15-7-2000;535
15-8-2000;534
15-9-2000;534
15-10-2000;533
15-11-2000;532
15-12-2000;532
15-1-2001;531
15-2-2001;530
15-3-2001;529
15-4-2001;529
15-5-2001;528
15-6-2001;527
15-7-2001;526
15-8-2001;525
15-9-2001;523
15-10-2001;522
15-11-2001;521
15-12-2001;520
15-1-2002;518
15-2-2002;517
15-3-2002;516
15-4-2002;515
15-5-2002;513
15-6-2002;512
15-7-2002;514
15-8-2002;517
15-9-2002;519
15-10-2002;521
15-11-2002;523
15-12-2002;525
15-1-2003;528
15-2-2003;530
15-3-2003;532
15-4-2003;534
15-5-2003;537
15-6-2003;539
15-7-2003;540
15-8-2003;541
15-9-2003;543
15-10-2003;544
15-11-2003;545
15-12-2003;546
15-1-2004;548
15-2-2004;549
15-3-2004;550
15-4-2004;551
15-5-2004;553
15-6-2004;554
15-7-2004;557
15-8-2004;559
15-9-2004;562
15-10-2004;565
15-11-2004;568
15-12-2004;570
15-1-2005;573
15-2-2005;576
15-3-2005;579
15-4-2005;582
15-5-2005;584
15-6-2005;587
15-7-2005;590
15-8-2005;592
15-9-2005;595
15-10-2005;598
15-11-2005;600
15-12-2005;603
15-1-2006;606
15-2-2006;608
15-3-2006;611
15-4-2006;613
15-5-2006;616
15-6-2006;619
15-7-2006;624
15-8-2006;630
15-9-2006;636
15-10-2006;642
15-11-2006;647
15-12-2006;653
15-1-2007;659
15-2-2007;665
15-3-2007;670
15-4-2007;676
15-5-2007;682
15-6-2007;688
15-7-2007;695
15-8-2007;702
15-9-2007;709
15-10-2007;716
15-11-2007;723
15-12-2007;730
15-1-2008;737
15-2-2008;744
15-3-2008;751
15-4-2008;758
15-5-2008;766
15-6-2008;773
15-7-2008;774
15-8-2008;775
15-9-2008;776
15-10-2008;777
15-11-2008;778
15-12-2008;779
15-1-2009;780
15-2-2009;781
15-3-2009;782
15-4-2009;783
15-5-2009;785
15-6-2009;786
15-7-2009;787
15-8-2009;789
15-9-2009;791
15-10-2009;793
15-11-2009;795
15-12-2009;796
15-1-2010;798
15-2-2010;800
15-3-2010;802
15-4-2010;804
15-5-2010;805
15-6-2010;807
15-7-2010;813
15-8-2010;819
15-9-2010;825
15-10-2010;831
15-11-2010;837
15-12-2010;843
15-1-2011;849
15-2-2011;855
15-3-2011;861
15-4-2011;867
15-5-2011;873
15-6-2011;879
15-7-2011;883
15-8-2011;887
15-9-2011;890
15-10-2011;894
15-11-2011;898
