"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q1","Q1-1970","PER","Persons","3","Thousands",,,1693.78,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q2","Q2-1970","PER","Persons","3","Thousands",,,1727.834,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q3","Q3-1970","PER","Persons","3","Thousands",,,1751.002,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q4","Q4-1970","PER","Persons","3","Thousands",,,1804.518,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1971-Q1","Q1-1971","PER","Persons","3","Thousands",,,1790.24,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1971-Q2","Q2-1971","PER","Persons","3","Thousands",,,1815.904,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1971-Q3","Q3-1971","PER","Persons","3","Thousands",,,1806.578,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1971-Q4","Q4-1971","PER","Persons","3","Thousands",,,1823.814,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q1","Q1-1972","PER","Persons","3","Thousands",,,1798.303,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q2","Q2-1972","PER","Persons","3","Thousands",,,1807.055,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q3","Q3-1972","PER","Persons","3","Thousands",,,1856.406,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q4","Q4-1972","PER","Persons","3","Thousands",,,1908.078,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q1","Q1-1973","PER","Persons","3","Thousands",,,1903.024,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q2","Q2-1973","PER","Persons","3","Thousands",,,1909.932,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q3","Q3-1973","PER","Persons","3","Thousands",,,1948.561,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q4","Q4-1973","PER","Persons","3","Thousands",,,1997.446,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1974-Q1","Q1-1974","PER","Persons","3","Thousands",,,2008.39,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1974-Q2","Q2-1974","PER","Persons","3","Thousands",,,2017.942,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1974-Q3","Q3-1974","PER","Persons","3","Thousands",,,2014.462,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1974-Q4","Q4-1974","PER","Persons","3","Thousands",,,2049.42,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1975-Q1","Q1-1975","PER","Persons","3","Thousands",,,1994.345,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1975-Q2","Q2-1975","PER","Persons","3","Thousands",,,2005.403,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1975-Q3","Q3-1975","PER","Persons","3","Thousands",,,2028.138,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1975-Q4","Q4-1975","PER","Persons","3","Thousands",,,2113.657,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1976-Q1","Q1-1976","PER","Persons","3","Thousands",,,2081.952,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1976-Q2","Q2-1976","PER","Persons","3","Thousands",,,2088.834,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1976-Q3","Q3-1976","PER","Persons","3","Thousands",,,2069.392,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1976-Q4","Q4-1976","PER","Persons","3","Thousands",,,2093.152,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1977-Q1","Q1-1977","PER","Persons","3","Thousands",,,2090.559,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1977-Q2","Q2-1977","PER","Persons","3","Thousands",,,2125.522,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1977-Q3","Q3-1977","PER","Persons","3","Thousands",,,2136.711,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1977-Q4","Q4-1977","PER","Persons","3","Thousands",,,2132.549,"B","Break"
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1978-Q1","Q1-1978","PER","Persons","3","Thousands",,,2118.001,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1978-Q2","Q2-1978","PER","Persons","3","Thousands",,,2146.92,,
