Macrotrends Data Download

NASDAQ Composite Index - 10 Year Daily Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2008-08-18,2416.9800
2008-08-19,2384.3600
2008-08-20,2389.0800
2008-08-21,2380.3800
2008-08-22,2414.7100
2008-08-25,2365.5900
2008-08-26,2361.9700
2008-08-27,2382.4600
2008-08-28,2411.6400
2008-08-29,2367.5200
2008-09-02,2349.2400
2008-09-03,2333.7300
2008-09-04,2259.0400
2008-09-05,2255.8800
2008-09-08,2269.7600
2008-09-09,2209.8100
2008-09-10,2228.7000
2008-09-11,2258.2200
2008-09-12,2261.2700
2008-09-15,2179.9100
2008-09-16,2207.9000
2008-09-17,2098.8500
2008-09-18,2199.1000
2008-09-19,2273.9000
2008-09-22,2178.9800
2008-09-23,2153.3300
2008-09-24,2155.6800
2008-09-25,2186.5700
2008-09-26,2183.3400
2008-09-29,1983.7300
2008-09-30,2091.8800
2008-10-01,2069.4000
2008-10-02,1976.7200
2008-10-03,1947.3900
2008-10-06,1862.9600
2008-10-07,1754.8800
2008-10-08,1740.3300
2008-10-09,1645.1200
2008-10-10,1649.5100
2008-10-13,1844.2500
2008-10-14,1779.0100
2008-10-15,1628.3300
2008-10-16,1717.7100
2008-10-17,1711.2900
2008-10-20,1770.0300
2008-10-21,1696.6800
2008-10-22,1615.7500
2008-10-23,1603.9100
2008-10-24,1552.0300
2008-10-27,1505.9000
2008-10-28,1649.4700
2008-10-29,1657.2100
2008-10-30,1698.5200
2008-10-31,1720.9500
2008-11-03,1726.3300
2008-11-04,1780.1200
2008-11-05,1681.6400
2008-11-06,1608.7000
2008-11-07,1647.4000
2008-11-10,1616.7400
2008-11-11,1580.9000
2008-11-12,1499.2100
2008-11-13,1596.7000
2008-11-14,1516.8500
2008-11-17,1482.0500
2008-11-18,1483.2700
2008-11-19,1386.4200
2008-11-20,1316.1200
2008-11-21,1384.3500
2008-11-24,1472.0200
2008-11-25,1464.7300
2008-11-26,1532.1000
2008-11-28,1535.5700
2008-12-01,1398.0700
