msacode,msalat,msalong
10180,32.47393,-99.72643
10420,41.11652,-81.43102
10500,31.62818,-84.15409
10540,44.48286,-122.8279
10580,42.71795,-73.86108
10740,35.14207,-106.5468
10780,31.30568,-92.52189
10900,40.72536,-75.41103
11020,40.435,-78.36875
11100,35.18977,-101.8074
11180,42.00684,-93.53263
11460,42.2445,-83.7415
11500,33.70611,-85.83389
11540,44.25643,-88.34178
11700,35.50788,-82.56557
12020,33.94193,-83.30154
12060,33.75003,-84.38583
12100,39.4425,-74.62
12220,32.60769,-85.37077
12260,33.4578,-81.9383
12420,30.28743,-97.70588
12540,35.34765,-118.7437
12580,39.28114,-76.59114
12620,45.07,-68.78511
12700,41.71,-70.28807
12940,30.49454,-91.14373
12980,42.23312,-85.095
13020,43.667,-83.932
13140,30.17125,-94.07313
13220,37.89396,-81.19895
13380,48.84945,-122.4544
13460,44.01222,-121.2533
13740,45.71228,-108.6343
13780,42.14267,-76.04311
13820,33.50771,-86.80589
13900,46.73692,-100.85
13980,37.15611,-80.53639
14010,40.41697,-88.85636
14020,39.20739,-86.62174
14100,41.004,-76.43667
14260,43.64128,-116.3293
14460,42.46418,-71.07774
14500,40.04581,-105.2548
14540,37.04846,-86.41116
14740,47.62385,-122.6131
14860,41.18367,-73.40266
15180,26.10667,-97.5681
15260,31.26438,-81.5375
15380,42.89072,-78.80567
15500,36.04692,-79.41462
15540,44.65082,-73.06143
15680,38.248,-76.566
15940,40.75189,-81.30981
15980,26.57898,-81.86836
16020,37.29633,-89.69767
16060,37.77539,-89.21231
16180,39.12889,-119.7478
16220,42.95923,-106.5
16300,42.04155,-91.63414
16540,39.94188,-77.67812
16580,40.18288,-88.285
16620,38.27201,-81.54681
16700,32.9355,-80.03883
16740,35.23519,-80.84984
16820,37.91569,-78.58176
16860,35.06094,-85.2883
16940,41.19706,-104.6494
16980,41.8441,-87.89714
17020,39.6375,-121.6212
17140,39.0967,-84.45305
17300,36.665,-87.481
17420,35.13118,-84.66824
17460,41.42471,-81.67504
17660,47.71357,-116.7607
17780,30.66931,-96.43931
17820,38.87933,-104.7732
17860,38.97334,-92.31223
17900,34.0364,-81.04107
17980,32.48718,-84.90154
18020,39.209,-85.838
18140,39.96705,-82.83994
18580,27.82729,-97.40356
18700,44.51375,-123.3387
18880,30.5825,-86.43036
19060,39.57276,-78.85172
