quarter,msacode,regioncode,cpi,hp,pop,pipc
1975q1,10540,1,52.62,20.13,79713,1308.08
1975q1,12540,1,51.97,31.6,348796,1658.83
1975q1,13380,1,49.89,21.22,92733,1414.35
1975q1,13460,1,52.62,22,41472,1439.83
1975q1,14740,1,49.89,24,112450,1806.94
1975q1,16180,1,50.85,26.31,24598,1787.62
1975q1,17020,1,51.97,24.48,121175,1401.11
1975q1,18700,1,52.62,20.93,63020,1264.63
1975q1,20940,1,51.97,28.55,82122,1604.73
1975q1,21660,1,52.62,22.18,240221,1389.83
1975q1,23420,1,51.97,27.81,457950,1603.6
1975q1,24420,1,52.62,25.08,47005,1199.19
1975q1,25260,1,51.97,25.59,70199,1691.91
1975q1,28420,1,49.89,30.65,102657,1742.38
1975q1,29820,1,50.85,28.1,347428,1699.11
1975q1,31020,1,49.89,24.7,72673,1555.51
1975q1,31080,1,51.97,15.93,8813901,1778.09
1975q1,31460,1,51.97,28.96,47126,1591.45
1975q1,32780,1,52.62,20.18,112522,1325.52
1975q1,32900,1,51.97,21.72,120077,1533.56
1975q1,33700,1,51.97,20.05,225008,1495.36
1975q1,34580,1,49.89,19.34,54263,1575.94
1975q1,34900,1,51.97,13,92150,1706.51
1975q1,36500,1,49.89,25.79,92368,1601.91
1975q1,37100,1,51.97,14.13,443824,1644.42
1975q1,38900,1,52.62,19.01,1185846,1680.13
1975q1,39820,1,51.97,30.98,88980,1509.07
1975q1,39900,1,50.85,28.39,151930,1842.03
1975q1,40140,1,51.97,21.86,1245759,1611.5
1975q1,40900,1,51.97,17.93,945886,1744.06
1975q1,41420,1,52.62,21,211015,1455.79
1975q1,41500,1,51.97,12.7,268770,1992.38
1975q1,41740,1,51.97,16.7,1575540,1769.14
1975q1,41860,1,51.97,11.29,3156550,2058.74
1975q1,41940,1,51.97,8.59,1195747,1854.4
1975q1,42020,1,51.97,13.44,127805,1436.84
1975q1,42100,1,51.97,9.36,155549,1625.97
1975q1,42200,1,51.97,12.94,281086,1816.28
1975q1,42220,1,51.97,11.9,247138,1701.42
