date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus
02/02/2009,1.5823,2.3262,1.2408,6.8470,5.8197,7.7544,48.84,89.86,1390.00,3.6130,14.496,1.9897,7.0415,1.5145,10.1750,113.900,8.3831,1.1640,33.700,34.950,0.7028,2.145
03/02/2009,1.5442,2.3151,1.2334,6.8399,5.7267,7.7530,48.37,89.09,1394.50,3.6170,14.583,1.9558,6.9201,1.5082,10.0956,113.880,8.2575,1.1419,33.720,34.930,0.6947,2.145
04/02/2009,1.5387,2.2910,1.2268,6.8335,5.7951,7.7536,48.68,89.53,1378.40,3.6240,14.465,1.9543,6.9149,1.5056,9.9800,113.880,8.2768,1.1579,33.660,34.900,0.6910,2.145
05/02/2009,1.5293,2.2966,1.2307,6.8355,5.8028,7.7528,48.72,91.01,1384.20,3.6121,14.318,1.9399,6.8297,1.5040,9.8605,113.850,8.2685,1.1654,33.660,34.950,0.6834,2.145
06/02/2009,1.4892,2.2620,1.2388,6.8338,5.7860,7.7541,48.61,91.95,1368.70,3.5980,14.178,1.8868,6.7927,1.4952,9.6526,113.970,8.1745,1.1694,33.610,34.980,0.6768,2.145
09/02/2009,1.4633,2.2375,1.2190,6.8392,5.7045,7.7520,48.52,91.47,1374.00,3.5985,14.134,1.8376,6.6179,1.4921,9.6100,113.970,7.9905,1.1566,33.710,34.990,0.6695,2.145
10/02/2009,1.5177,2.2663,1.2332,6.8241,5.7461,7.7515,48.68,90.65,1388.00,3.5865,14.378,1.8918,6.7063,1.5040,9.7500,113.880,8.1988,1.1535,33.950,34.970,0.6847,2.145
11/02/2009,1.5270,2.2649,1.2418,6.8332,5.7790,7.7511,48.78,90.66,1390.00,3.6020,14.542,1.9011,6.7646,1.5050,9.8775,113.900,8.3834,1.1599,33.970,35.050,0.6960,2.145
12/02/2009,1.5368,2.2940,1.2478,6.8345,5.8115,7.7519,48.70,90.55,1394.00,3.6185,14.588,1.9220,6.8709,1.5118,10.0751,113.920,8.4300,1.1634,34.020,35.140,0.7019,2.145
13/02/2009,1.5163,2.2765,1.2435,6.8392,5.7859,7.7528,48.58,91.84,1403.50,3.6020,14.465,1.8990,6.7705,1.5077,9.9345,113.950,8.3500,1.1581,34.030,35.120,0.6934,2.145
16/02/2009,,,,,,,,,,,,,,,9.9345,,,,,,,
17/02/2009,1.5659,2.3192,1.2606,6.8355,5.9277,7.7545,49.60,92.17,1454.80,3.6380,14.621,1.9569,7.0329,1.5283,10.2500,114.150,8.8196,1.1744,34.580,35.260,0.7030,2.145
18/02/2009,1.5662,2.3572,1.2592,6.8378,5.9371,7.7551,49.84,93.81,1459.00,3.6570,14.653,1.9581,7.0319,1.5316,10.1850,114.000,8.7568,1.1813,34.630,35.360,0.7025,2.145
19/02/2009,1.5504,2.3554,1.2590,6.8348,5.8760,7.7546,49.73,94.09,1480.70,3.6580,14.589,1.9520,6.8926,1.5264,10.0675,114.100,8.7270,1.1742,34.580,35.540,0.6990,2.145
20/02/2009,1.5579,2.3898,1.2543,6.8367,5.8731,7.7543,49.71,93.87,1519.50,3.6740,14.836,1.9708,6.8542,1.5356,10.1700,114.100,8.8018,1.1681,34.800,35.690,0.6977,2.145
23/02/2009,1.5489,2.3880,1.2508,6.8355,5.8450,7.7526,49.46,94.63,1495.50,3.6530,14.860,1.9600,6.8270,1.5290,10.0400,114.100,8.7602,1.1633,34.610,35.610,0.6871,2.145
24/02/2009,1.5555,2.3830,1.2468,6.8368,5.8455,7.7532,49.75,96.60,1516.00,3.6630,14.835,1.9612,6.8533,1.5275,9.9900,114.370,8.9220,1.1670,34.730,35.650,0.6941,2.145
25/02/2009,1.5442,2.3880,1.2558,6.8369,5.8504,7.7533,49.95,97.33,1515.70,3.6670,14.926,1.9543,6.8710,1.5294,9.9410,114.800,8.9177,1.1646,34.740,35.750,0.7010,2.145
26/02/2009,1.5300,2.3508,1.2455,6.8361,5.8349,7.7541,50.32,98.55,1512.80,3.6680,14.973,1.9558,6.9090,1.5367,9.8800,115.100,8.9230,1.1647,34.840,35.920,0.6973,2.145
27/02/2009,1.5579,2.3750,1.2710,6.8395,5.8832,7.7551,50.88,97.74,1532.80,3.7050,15.088,1.9881,7.0474,1.5461,10.0350,114.130,9.0240,1.1672,35.000,36.110,0.7005,2.145
02/03/2009,1.5870,2.4365,1.2891,6.8438,5.9229,7.7573,51.80,97.17,1570.10,3.7260,15.406,2.0300,7.1486,1.5565,10.5000,114.230,9.1955,1.1723,35.210,36.250,0.7148,2.145
03/03/2009,1.5654,2.4420,1.2937,6.8413,5.9369,7.7585,51.96,98.16,1551.20,3.7070,15.341,2.0194,7.2778,1.5526,10.5250,114.170,9.2730,1.1755,35.080,36.050,0.7126,2.145
04/03/2009,1.5387,2.3738,1.2768,6.8432,5.9082,7.7593,51.53,99.34,1550.95,3.7110,15.175,1.9763,7.0479,1.5452,10.3600,114.170,9.0759,1.1762,35.050,36.050,0.7071,2.145
05/03/2009,1.5605,2.3860,1.2875,6.8406,5.9305,7.7574,51.60,98.32,1567.10,3.7250,15.315,1.9940,7.0921,1.5532,10.6425,114.150,9.2863,1.1727,34.930,36.130,0.7080,2.145
06/03/2009,1.5605,2.3735,1.2865,6.8395,5.8787,7.7549,51.68,97.88,1549.60,3.7150,15.254,1.9837,7.0612,1.5450,10.4100,114.200,9.2012,1.1525,34.660,36.040,0.7087,2.145
09/03/2009,1.5845,2.3698,1.2995,6.8398,5.8943,7.7560,51.91,98.87,1541.00,3.7150,15.382,2.0296,7.0635,1.5489,10.5900,114.500,9.1100,1.1634,34.810,36.130,0.7269,2.145
10/03/2009,1.5449,2.3472,1.2796,6.8410,5.8419,7.7554,51.35,98.39,1501.00,3.6900,15.287,1.9877,6.9795,1.5346,10.2880,113.900,8.8852,1.1540,34.580,35.940,0.7225,2.145
11/03/2009,1.5392,2.3357,1.2808,6.8399,5.8310,7.7557,50.98,97.74,1466.00,3.6940,15.168,1.9747,6.9380,1.5315,10.1450,114.200,8.7906,1.1585,34.460,35.910,0.7257,2.145
12/03/2009,1.5449,2.3265,1.2909,6.8383,5.8219,7.7533,51.69,97.86,1494.75,3.6900,14.922,1.9455,6.9605,1.5355,9.9600,114.500,8.7407,1.1893,34.480,35.970,0.7241,2.145
