Name;PAN
Q4 1960;0,606
Q1 1961;0,672
Q2 1961;0,672
Q3 1961;0,672
Q4 1961;0,672
Q1 1962;0,728
Q2 1962;0,728
Q3 1962;0,728
Q4 1962;0,728
Q1 1963;0,79
Q2 1963;0,79
Q3 1963;0,79
Q4 1963;0,79
Q1 1964;0,825
Q2 1964;0,825
Q3 1964;0,825
Q4 1964;0,825
Q1 1965;0,9
Q2 1965;0,9
Q3 1965;0,9
Q4 1965;0,9
Q1 1966;0,969
Q2 1966;0,969
Q3 1966;0,969
Q4 1966;0,969
Q1 1967;1,051
Q2 1967;1,051
Q3 1967;1,051
Q4 1967;1,051
Q1 1968;1,125
Q2 1968;1,125
Q3 1968;1,125
Q4 1968;1,125
Q1 1969;1,22
Q2 1969;1,22
Q3 1969;1,22
Q4 1969;1,22
Q1 1970;1,305
Q2 1970;1,305
Q3 1970;1,305
Q4 1970;1,305
Q1 1971;1,43
Q2 1971;1,43
Q3 1971;1,43
Q4 1971;1,43
Q1 1972;1,496
Q2 1972;1,496
Q3 1972;1,496
Q4 1972;1,496
Q1 1973;1,576
Q2 1973;1,576
Q3 1973;1,576
Q4 1973;1,576
Q1 1974;1,614
Q2 1974;1,614
Q3 1974;1,614
Q4 1974;1,614
Q1 1975;1,642
Q2 1975;1,642
Q3 1975;1,642
Q4 1975;1,642
Q1 1976;1,67
Q2 1976;1,67
Q3 1976;1,67
Q4 1976;1,67
Q1 1977;1,688
Q2 1977;1,688
Q3 1977;1,688
Q4 1977;1,688
Q1 1978;1,853
Q2 1978;1,853
Q3 1978;1,853
Q4 1978;1,853
Q1 1979;1,937
Q2 1979;1,937
Q3 1979;1,937
Q4 1979;1,937
Q1 1980;2,191
Q2 1980;2,191
Q3 1980;2,191
Q4 1980;2,191
Q1 1981;2,392
Q2 1981;2,392
Q3 1981;2,392
Q4 1981;2,392
Q1 1982;2,52
Q2 1982;2,52
Q3 1982;2,52
Q4 1982;2,52
Q1 1983;2,407
Q2 1983;2,407
Q3 1983;2,407
Q4 1983;2,407
Q1 1984;2,472
Q2 1984;2,472
Q3 1984;2,472
Q4 1984;2,472
Q1 1985;2,594
Q2 1985;2,594
Q3 1985;2,594
Q4 1985;2,594
Q1 1986;2,687
Q2 1986;2,687
Q3 1986;2,687
Q4 1986;2,687
Q1 1987;2,638
Q2 1987;2,638
Q3 1987;2,638
Q4 1987;2,638
Q1 1988;2,285
Q2 1988;2,285
Q3 1988;2,285
Q4 1988;2,285
Q1 1989;2,321
Q2 1989;2,321
Q3 1989;2,321
Q4 1989;2,321
Q1 1990;2,509
Q2 1990;2,509
Q3 1990;2,509
Q4 1990;2,509
Q1 1991;2,745
Q2 1991;2,745
Q3 1991;2,745
Q4 1991;2,745
Q1 1992;2,97
Q2 1992;2,97
Q3 1992;2,97
Q4 1992;2,97
Q1 1993;3,133
Q2 1993;3,133
Q3 1993;3,133
Q4 1993;3,133
Q1 1994;3,222
Q2 1994;3,222
Q3 1994;3,222
Q4 1994;3,222
Q1 1995;3,278
Q2 1995;3,278
Q3 1995;3,278
Q4 1995;3,278
Q1 1996;3,412
Q2 1996;3,412
Q3 1996;3,412
Q4 1996;3,412
Q1 1997;3,632
Q2 1997;3,632
Q3 1997;3,632
Q4 1997;3,632
Q1 1998;3,899
Q2 1998;3,899
Q3 1998;3,899
Q4 1998;3,899
Q1 1999;4,052
Q2 1999;4,052
Q3 1999;4,052
Q4 1999;4,052
Q1 2000;4,162
Q2 2000;4,162
Q3 2000;4,162
Q4 2000;4,162
Q1 2001;4,186
Q2 2001;4,186
Q3 2001;4,186
Q4 2001;4,186
Q1 2002;4,279
Q2 2002;4,279
Q3 2002;4,279
Q4 2002;4,279
Q1 2003;4,459
Q2 2003;4,459
Q3 2003;4,459
Q4 2003;4,459
Q1 2004;4,794
Q2 2004;4,794
Q3 2004;4,794
Q4 2004;4,794
Q1 2005;5,139
Q2 2005;5,139
Q3 2005;5,139
Q4 2005;5,139
Q1 2006;5,584
Q2 2006;5,584
Q3 2006;5,584
Q4 2006;5,584
Q1 2007;6,253
Q2 2007;6,253
Q3 2007;6,253
Q4 2007;6,253
Q1 2008;6,869
Q2 2008;6,869
Q3 2008;6,869
Q4 2008;6,869
Q1 2009;6,955
Q2 2009;6,955
Q3 2009;6,955
Q4 2009;6,955
Q1 2010;7,36
Q2 2010;7,36
Q3 2010;7,36
Q4 2010;7,36
Q1 2011;8,193
Q2 2011;8,193
Q3 2011;8,193
Q4 2011;8,193
Q1 2012;8,994
Q2 2012;8,994
Q3 2012;8,994
Q4 2012;8,994
Q1 2013;9,615
Q2 2013;9,615
Q3 2013;9,615
Q4 2013;9,615
Q1 2014;10,102
Q2 2014;10,102
Q3 2014;10,102
Q4 2014;10,102
Q1 2015;10,681
Q2 2015;10,681
Q3 2015;10,681
Q4 2015;10,681
Q1 2016;11,21
Q2 2016;11,21
Q3 2016;11,21
Q4 2016;11,21
Q1 2017;11,837
Q2 2017;11,837
Q3 2017;11,837
Q4 2017;11,837
Q1 2018;12,263
Q2 2018;12,263
Q3 2018;12,263
Q4 2018;12,263
Q1 2019;12,636
Q2 2019;12,636
Q3 2019;12,636
Q4 2019;12,636
Q1 2020;10,368
Q2 2020;10,368
Q3 2020;10,368
Q4 2020;10,368
