PERMNO,DATE,COMNAM,TICKER,PRC,VOL,NUMTRD,RET,RETX
10107,20010102,MICROSOFT CORP,MSFT,43.37500,43348801,40770,0.000000,0.000000
10107,20010103,MICROSOFT CORP,MSFT,47.93750,69219450,59698,0.105187,0.105187
10107,20010104,MICROSOFT CORP,MSFT,48.43750,57563281,49410,0.010430,0.010430
10107,20010105,MICROSOFT CORP,MSFT,49.12500,47682963,43467,0.014194,0.014194
10107,20010108,MICROSOFT CORP,MSFT,48.93750,40255675,42307,-0.003817,-0.003817
10107,20010109,MICROSOFT CORP,MSFT,51.81250,59161853,56154,0.058748,0.058748
10107,20010110,MICROSOFT CORP,MSFT,52.87500,45757205,49499,0.020507,0.020507
10107,20010111,MICROSOFT CORP,MSFT,55.00000,51420618,41704,0.040189,0.040189
10107,20010112,MICROSOFT CORP,MSFT,53.50000,37288353,36923,-0.027273,-0.027273
10107,20010116,MICROSOFT CORP,MSFT,52.56250,34587696,33849,-0.017523,-0.017523
10107,20010117,MICROSOFT CORP,MSFT,52.93750,37441554,32187,0.007134,0.007134
10107,20010118,MICROSOFT CORP,MSFT,55.50000,55937316,47495,0.048406,0.048406
10107,20010119,MICROSOFT CORP,MSFT,61.00000,105264759,75735,0.099099,0.099099
10107,20010122,MICROSOFT CORP,MSFT,60.12500,40469085,38462,-0.014344,-0.014344
10107,20010123,MICROSOFT CORP,MSFT,60.56250,35783206,31893,0.007277,0.007277
10107,20010124,MICROSOFT CORP,MSFT,62.93750,55637379,45712,0.039216,0.039216
10107,20010125,MICROSOFT CORP,MSFT,61.81250,43436709,37467,-0.017875,-0.017875
10107,20010126,MICROSOFT CORP,MSFT,64.00000,46888792,35512,0.035389,0.035389
10107,20010129,MICROSOFT CORP,MSFT,64.50000,42829620,27456,0.007813,0.007813
10107,20010130,MICROSOFT CORP,MSFT,63.37500,29074719,25955,-0.017442,-0.017442
10107,20010131,MICROSOFT CORP,MSFT,61.06250,41838107,35022,-0.036489,-0.036489
10107,20010201,MICROSOFT CORP,MSFT,62.37500,36421500,33280,0.021494,0.021494
10107,20010202,MICROSOFT CORP,MSFT,60.81250,36057007,35383,-0.025050,-0.025050
10107,20010205,MICROSOFT CORP,MSFT,61.93750,28275841,27109,0.018499,0.018499
10107,20010206,MICROSOFT CORP,MSFT,62.56250,48489173,32337,0.010091,0.010091
10107,20010207,MICROSOFT CORP,MSFT,64.68750,64109344,54453,0.033966,0.033966
10107,20010208,MICROSOFT CORP,MSFT,62.25000,44952723,37508,-0.037681,-0.037681
10107,20010209,MICROSOFT CORP,MSFT,59.12500,50836643,39143,-0.050201,-0.050201
10107,20010212,MICROSOFT CORP,MSFT,58.75000,36218894,37993,-0.006342,-0.006342
10107,20010213,MICROSOFT CORP,MSFT,58.18750,38343404,34004,-0.009574,-0.009574
10107,20010214,MICROSOFT CORP,MSFT,58.37500,31365531,34004,0.003222,0.003222
10107,20010215,MICROSOFT CORP,MSFT,58.81250,33007807,31928,0.007495,0.007495
10107,20010216,MICROSOFT CORP,MSFT,57.31250,35743523,31984,-0.025505,-0.025505
10107,20010220,MICROSOFT CORP,MSFT,55.87500,31665605,34349,-0.025082,-0.025082
10107,20010221,MICROSOFT CORP,MSFT,56.25000,32549782,38173,0.006711,0.006711
10107,20010222,MICROSOFT CORP,MSFT,55.18750,50843773,47472,-0.018889,-0.018889
10107,20010223,MICROSOFT CORP,MSFT,56.75000,46968648,52807,0.028313,0.028313
10107,20010226,MICROSOFT CORP,MSFT,59.56250,45014119,44445,0.049559,0.049559
10107,20010227,MICROSOFT CORP,MSFT,59.37500,50205623,47814,-0.003148,-0.003148
10107,20010228,MICROSOFT CORP,MSFT,59.00000,42704066,42893,-0.006316,-0.006316
10107,20010301,MICROSOFT CORP,MSFT,59.35938,41299682,41495,0.006091,0.006091
10107,20010302,MICROSOFT CORP,MSFT,56.68750,40501782,35691,-0.045012,-0.045012
10107,20010305,MICROSOFT CORP,MSFT,57.43750,24966831,28838,0.013230,0.013230
10107,20010306,MICROSOFT CORP,MSFT,59.43750,34020582,29039,0.034820,0.034820
10107,20010307,MICROSOFT CORP,MSFT,60.68750,30102243,29010,0.021030,0.021030
10107,20010308,MICROSOFT CORP,MSFT,59.25000,28219053,25771,-0.023687,-0.023687
10107,20010309,MICROSOFT CORP,MSFT,56.68750,52396771,44598,-0.043249,-0.043249
10107,20010312,MICROSOFT CORP,MSFT,51.93750,57676248,56457,-0.083793,-0.083793
10107,20010313,MICROSOFT CORP,MSFT,54.18750,45972909,54330,0.043321,0.043321
10107,20010314,MICROSOFT CORP,MSFT,54.00000,45924555,57622,-0.003460,-0.003460
10107,20010315,MICROSOFT CORP,MSFT,53.68750,37477006,40309,-0.005787,-0.005787
10107,20010316,MICROSOFT CORP,MSFT,54.56250,58858428,45895,0.016298,0.016298
10107,20010319,MICROSOFT CORP,MSFT,54.31250,31492637,37639,-0.004582,-0.004582
10107,20010320,MICROSOFT CORP,MSFT,52.68750,47522135,51702,-0.029919,-0.029919
10107,20010321,MICROSOFT CORP,MSFT,50.06250,63229523,64948,-0.049822,-0.049822
10107,20010322,MICROSOFT CORP,MSFT,54.00000,63814552,69347,0.078652,0.078652
10107,20010323,MICROSOFT CORP,MSFT,56.56250,50166139,52163,0.047454,0.047454
10107,20010326,MICROSOFT CORP,MSFT,56.06250,32234194,36900,-0.008840,-0.008840
10107,20010327,MICROSOFT CORP,MSFT,58.25000,47902092,49755,0.039019,0.039019
10107,20010328,MICROSOFT CORP,MSFT,55.56250,39701303,41898,-0.046137,-0.046137
10107,20010329,MICROSOFT CORP,MSFT,55.37500,43882352,49855,-0.003375,-0.003375
10107,20010330,MICROSOFT CORP,MSFT,54.68750,46485408,45898,-0.012415,-0.012415
10107,20010402,MICROSOFT CORP,MSFT,55.81250,38406491,47001,0.020571,0.020571
10107,20010403,MICROSOFT CORP,MSFT,53.37500,47606144,50859,-0.043673,-0.043673
10107,20010404,MICROSOFT CORP,MSFT,51.93750,52978295,59167,-0.026932,-0.026932
10107,20010405,MICROSOFT CORP,MSFT,56.75000,57747574,58097,0.092659,0.092659
10107,20010406,MICROSOFT CORP,MSFT,56.18750,46823985,52429,-0.009912,-0.009912
10107,20010409,MICROSOFT CORP,MSFT,57.15000,28603316,39822,0.017130,0.017130
10107,20010410,MICROSOFT CORP,MSFT,59.68000,55278177,53499,0.044269,0.044269
10107,20010411,MICROSOFT CORP,MSFT,60.04000,55518878,47898,0.006032,0.006032
10107,20010412,MICROSOFT CORP,MSFT,62.18000,43966120,44889,0.035643,0.035643
10107,20010416,MICROSOFT CORP,MSFT,60.79000,33221669,37299,-0.022354,-0.022354
10107,20010417,MICROSOFT CORP,MSFT,61.48000,43262093,46513,0.011351,0.011351
10107,20010418,MICROSOFT CORP,MSFT,65.43000,79050731,61905,0.064249,0.064249
10107,20010419,MICROSOFT CORP,MSFT,68.04000,81155961,70032,0.039890,0.039890
10107,20010420,MICROSOFT CORP,MSFT,69.00000,97071928,76717,0.014109,0.014109
10107,20010423,MICROSOFT CORP,MSFT,68.25000,46310048,44301,-0.010870,-0.010870
10107,20010424,MICROSOFT CORP,MSFT,67.55000,44811597,53575,-0.010256,-0.010256
10107,20010425,MICROSOFT CORP,MSFT,69.69000,38900736,47859,0.031680,0.031680
10107,20010426,MICROSOFT CORP,MSFT,69.13000,59860354,55006,-0.008036,-0.008036
10107,20010427,MICROSOFT CORP,MSFT,67.12000,64158095,62898,-0.029076,-0.029076
10107,20010430,MICROSOFT CORP,MSFT,67.75000,37569389,40678,0.009386,0.009386
10107,20010501,MICROSOFT CORP,MSFT,70.17000,42215443,49502,0.035720,0.035720
10107,20010502,MICROSOFT CORP,MSFT,69.76000,47087037,47111,-0.005843,-0.005843
10107,20010503,MICROSOFT CORP,MSFT,68.53000,33720893,40752,-0.017632,-0.017632
10107,20010504,MICROSOFT CORP,MSFT,70.75000,60365597,51665,0.032395,0.032395
10107,20010507,MICROSOFT CORP,MSFT,71.38000,55911603,52357,0.008905,0.008905
10107,20010508,MICROSOFT CORP,MSFT,72.06000,38201900,39480,0.009526,0.009526
10107,20010509,MICROSOFT CORP,MSFT,70.40000,40746305,43062,-0.023036,-0.023036
10107,20010510,MICROSOFT CORP,MSFT,70.00000,32574641,32882,-0.005682,-0.005682
10107,20010511,MICROSOFT CORP,MSFT,69.40000,25745279,27793,-0.008571,-0.008571
10107,20010514,MICROSOFT CORP,MSFT,68.72000,23501573,25307,-0.009798,-0.009798
10107,20010515,MICROSOFT CORP,MSFT,68.27000,30866876,31191,-0.006548,-0.006548
10107,20010516,MICROSOFT CORP,MSFT,69.16000,46741909,43404,0.013037,0.013037
10107,20010517,MICROSOFT CORP,MSFT,68.16980,54003936,44056,-0.014318,-0.014318
10107,20010518,MICROSOFT CORP,MSFT,68.09000,45746345,42420,-0.001171,-0.001171
10107,20010521,MICROSOFT CORP,MSFT,68.79000,52376944,45420,0.010281,0.010281
10107,20010522,MICROSOFT CORP,MSFT,70.31000,41945332,43594,0.022096,0.022096
10107,20010523,MICROSOFT CORP,MSFT,69.70000,47222575,51770,-0.008676,-0.008676
10107,20010524,MICROSOFT CORP,MSFT,71.72000,40931391,46974,0.028981,0.028981
10107,20010525,MICROSOFT CORP,MSFT,70.91000,26642521,36932,-0.011294,-0.011294
