"q","r","FPE","AIC","AICC","SIC","HQ"
10,10,8,8,8,2,2
11,10,8,8,8,2,2
12,10,2,2,2,2,2
13,10,2,2,2,2,2
14,10,2,2,2,2,2
15,10,2,2,2,2,2
16,10,2,2,2,2,2
17,10,2,2,2,2,2
18,10,2,2,2,2,2
19,10,2,2,2,2,2
20,10,2,2,2,2,2
21,10,2,2,2,2,2
22,10,2,2,2,2,2
23,10,2,2,2,2,2
24,10,2,2,2,2,2
25,10,2,2,2,2,2
26,10,2,2,2,2,2
27,10,2,2,2,2,2
28,10,2,2,2,2,2
29,10,2,2,2,2,2
30,10,2,2,2,2,2
31,10,2,2,2,2,2
32,10,2,2,2,2,2
33,10,2,2,2,2,2
34,10,2,2,2,2,2
35,10,2,2,2,2,2
10,11,8,8,8,2,2
11,11,8,8,8,2,2
12,11,2,2,2,2,2
13,11,2,2,2,2,2
14,11,2,2,2,2,2
15,11,2,2,2,2,2
16,11,2,2,2,2,2
17,11,2,2,2,2,2
18,11,2,2,2,2,2
19,11,2,2,2,2,2
20,11,2,2,2,2,2
21,11,2,2,2,2,2
22,11,2,2,2,2,2
23,11,2,2,2,2,2
24,11,2,2,2,2,2
25,11,2,2,2,2,2
26,11,2,2,2,2,2
27,11,2,2,2,2,2
28,11,2,2,2,2,2
29,11,2,2,2,2,2
30,11,2,2,2,2,2
31,11,2,2,2,2,2
32,11,2,2,2,2,2
33,11,2,2,2,2,2
34,11,2,2,2,2,2
35,11,2,2,2,2,2
10,12,8,8,8,2,2
11,12,8,8,2,2,2
12,12,2,2,2,2,2
13,12,2,2,2,2,2
14,12,2,2,2,2,2
15,12,2,2,2,2,2
16,12,2,2,2,2,2
17,12,2,2,2,2,2
18,12,2,2,2,2,2
19,12,2,2,2,2,2
20,12,2,2,2,2,2
21,12,2,2,2,2,2
22,12,2,2,2,2,2
23,12,2,2,2,2,2
24,12,2,2,2,2,2
25,12,2,2,2,2,2
26,12,2,2,2,2,2
27,12,2,2,2,2,2
28,12,2,2,2,2,2
29,12,2,2,2,2,2
30,12,2,2,2,2,2
31,12,2,2,2,2,2
32,12,2,2,2,2,2
33,12,2,2,2,2,2
34,12,2,2,2,2,2
35,12,2,2,2,2,2
10,13,8,8,8,2,2
11,13,8,8,8,2,2
12,13,2,2,2,2,2
13,13,2,2,2,2,2
14,13,2,2,2,2,2
15,13,2,2,2,2,2
16,13,2,2,2,2,2
17,13,2,2,2,2,2
18,13,2,2,2,2,2
19,13,2,2,2,2,2
20,13,2,2,2,2,2
21,13,2,2,2,2,2
22,13,2,2,2,2,2
23,13,2,2,2,2,2
24,13,2,2,2,2,2
25,13,2,2,2,2,2
26,13,2,2,2,2,2
27,13,2,2,2,2,2
28,13,2,2,2,2,2
29,13,2,2,2,2,2
30,13,2,2,2,2,2
31,13,2,2,2,2,2
32,13,2,2,2,2,2
33,13,2,2,2,2,2
34,13,2,2,2,2,2
35,13,2,2,2,2,2
10,14,8,8,8,2,2
11,14,8,8,8,2,2
12,14,2,2,2,2,2
13,14,2,2,2,2,2
14,14,2,2,2,2,2
15,14,2,2,2,2,2
16,14,2,2,2,2,2
17,14,2,2,2,2,2
18,14,2,2,2,2,2
19,14,2,2,2,2,2
20,14,2,2,2,2,2
21,14,2,2,2,2,2
22,14,2,2,2,2,2
23,14,2,2,2,2,2
24,14,2,2,2,2,2
25,14,2,2,2,2,2
26,14,2,2,2,2,2
27,14,2,2,2,2,2
28,14,2,2,2,2,2
29,14,2,2,2,2,2
30,14,2,2,2,2,2
31,14,2,2,2,2,2
32,14,2,2,2,2,2
33,14,2,2,2,2,2
34,14,2,2,2,2,2
35,14,2,2,2,2,2
10,15,8,8,8,2,2
11,15,8,8,8,2,2
12,15,8,8,2,2,2
13,15,2,2,2,2,2
14,15,2,2,2,2,2
15,15,2,2,2,2,2
16,15,2,2,2,2,2
17,15,2,2,2,2,2
18,15,2,2,2,2,2
19,15,8,8,2,2,2
20,15,8,8,2,2,2
21,15,8,8,2,2,2
22,15,2,2,2,2,2
23,15,2,2,2,2,2
24,15,2,2,2,2,2
25,15,2,2,2,2,2
26,15,2,2,2,2,2
27,15,2,2,2,2,2
28,15,2,2,2,2,2
29,15,2,2,2,2,2
30,15,2,2,2,2,2
31,15,2,2,2,2,2
32,15,2,2,2,2,2
33,15,2,2,2,2,2
34,15,2,2,2,2,2
35,15,2,2,2,2,2
