date,exusal,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exusnz,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exusuk,exukus,exvzus,exauus,exbeus,exfnus,exfrus,exgeus,exgrus,exusir,exirus,exitus,exneus,expous,exspus,exusec,execus,exuseu,exeuus,twexb,twexm,twexo,indexgx
01JAN2010,,,,,,,,,,,,,,,,,7.3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04JAN2010,0.9133,1.0949,1.7200,1.0377,6.8273,5.1597,7.7555,46.27,92.55,1149.00,3.3960,12.911,0.7327,1.3648,5.7113,1.3971,7.2955,114.400,7.0633,1.0294,31.650,33.180,1.6109,0.6208,2.145,,,,,,,,,,,,,,,1.4419,0.6935,101.113,73.613,131.034,
05JAN2010,0.9143,1.0937,1.7296,1.0371,6.8258,5.1668,7.7564,46.13,91.48,1138.20,3.3850,12.816,0.7357,1.3592,5.6986,1.3956,7.3060,114.300,7.0919,1.0322,31.890,33.150,1.6009,0.6246,2.145,,,,,,,,,,,,,,,1.4402,0.6943,100.949,73.533,130.764,
06JAN2010,0.9189,1.0883,1.7292,1.0333,6.8272,5.1638,7.7546,45.72,92.53,1130.00,3.3790,12.742,0.7355,1.3596,5.6805,1.3945,7.3060,114.300,7.0744,1.0282,31.830,33.140,1.6016,0.6244,2.145,,,,,,,,,,,,,,,1.4404,0.6943,100.820,73.566,130.415,
07JAN2010,0.9168,1.0908,1.7409,1.0351,6.8280,5.1981,7.7539,45.67,93.31,1135.00,3.3680,12.759,0.7325,1.3652,5.7118,1.3971,7.4400,114.270,7.1251,1.0341,31.850,33.110,1.5912,0.6285,2.145,,,,,,,,,,,,,,,1.4314,0.6986,101.087,73.950,130.491,
08JAN2010,0.9218,1.0848,1.7342,1.0345,6.8274,5.1827,7.7553,45.50,92.70,1127.75,3.3750,12.726,0.7338,1.3628,5.6868,1.3941,7.3565,114.350,7.1185,1.0296,31.820,33.130,1.5993,0.6253,2.145,,,,,,,,,,,,,,,1.4357,0.6965,100.866,73.717,130.308,
11JAN2010,0.9295,1.0758,1.7330,1.0317,6.8263,5.1185,7.7550,45.35,91.90,1120.00,3.3350,12.666,0.7423,1.3472,5.6162,1.3878,7.3425,114.300,7.0242,1.0154,31.750,33.010,1.6146,0.6193,2.145,,,,,,,,,,,,,,,1.4536,0.6879,100.307,73.085,129.905,
12JAN2010,0.9242,1.0820,1.7407,1.0374,6.8267,5.1232,7.7552,45.60,90.95,1120.25,3.3425,12.716,0.7416,1.3484,5.6341,1.3884,7.4250,114.250,7.0409,1.0160,31.800,33.010,1.6181,0.6180,4.289,,,,,,,,,,,,,,,1.4523,0.6886,100.653,73.101,130.693,
13JAN2010,0.9225,1.0840,1.7480,1.0319,6.8295,5.1336,7.7564,45.47,91.38,1122.00,3.3445,12.762,0.7394,1.3524,5.6445,1.3885,7.4222,114.350,7.0453,1.0194,31.750,33.020,1.6288,0.6139,4.289,,,,,,,,,,,,,,,1.4492,0.6900,100.708,73.077,130.854,
14JAN2010,0.9306,1.0746,1.7684,1.0260,6.8265,5.1387,7.7578,45.55,91.03,1122.50,3.3370,12.720,0.7425,1.3468,5.6354,1.3879,7.4060,114.350,7.0217,1.0206,31.750,32.850,1.6320,0.6127,4.289,,,,,,,,,,,,,,,1.4478,0.6907,100.563,72.900,130.771,
15JAN2010,0.9234,1.0830,1.7681,1.0287,6.8269,5.1768,7.7594,45.80,90.79,1123.00,3.3380,12.685,0.7380,1.3550,5.6816,1.3910,7.3880,114.200,7.0611,1.0264,31.790,32.860,1.6240,0.6158,4.289,,,,,,,,,,,,,,,1.4376,0.6956,100.725,73.181,130.746,
18JAN2010,,,,,,,,,,,,,,,,,7.3880,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19JAN2010,0.9232,1.0832,1.7767,1.0325,6.8268,5.2154,7.7626,45.84,91.13,1129.30,3.3380,12.650,0.7381,1.3548,5.7059,1.3908,7.4000,114.200,7.0926,1.0340,31.830,32.890,1.6370,0.6109,4.289,,,,,,,,,,,,,,,1.4269,0.7008,100.932,73.488,130.790,
20JAN2010,0.9085,1.1007,1.7920,1.0477,6.8258,5.2812,7.7684,46.10,91.23,1133.50,3.3620,12.770,0.7195,1.3899,5.7772,1.4006,7.5551,114.350,7.1896,1.0453,31.970,32.960,1.6287,0.6140,4.289,,,,,,,,,,,,,,,1.4094,0.7095,101.634,74.268,131.312,
21JAN2010,0.9053,1.1046,1.8021,1.0483,6.8268,5.2762,7.7703,46.10,90.25,1141.00,3.3680,12.783,0.7142,1.4002,5.7878,1.4010,7.5700,114.350,7.2175,1.0426,31.920,32.960,1.6214,0.6168,4.289,,,,,,,,,,,,,,,1.4106,0.7089,101.611,74.153,131.425,
22JAN2010,0.9050,1.1050,1.8210,1.0561,6.8270,5.2611,7.7713,46.21,90.07,1153.00,3.3955,12.930,0.7130,1.4025,5.7904,1.4020,7.6100,114.300,7.2227,1.0400,31.980,33.020,1.6120,0.6203,4.300,,,,,,,,,,,,,,,1.4154,0.7065,101.902,74.227,132.000,
25JAN2010,0.9030,1.1074,1.8200,1.0582,6.8268,5.2630,7.7679,46.06,90.12,1146.00,3.3970,12.910,0.7143,1.4000,5.8156,1.3995,7.6100,114.350,7.2387,1.0403,31.910,32.950,1.6236,0.6159,4.300,,,,,,,,,,,,,,,1.4146,0.7069,101.875,74.258,131.890,
26JAN2010,0.8949,1.1174,1.8466,1.0669,6.8263,5.2930,7.7742,,89.63,1163.10,3.4200,12.953,0.7040,1.4205,5.8625,1.4044,7.6265,114.470,7.3075,1.0466,32.040,33.020,1.6109,0.6208,4.300,,,,,,,,,,,,,,,1.4063,0.7111,102.292,74.626,132.340,
