date,exusal,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exusnz,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exusuk,exukus,exvzus,exauus,exbeus,exfnus,exfrus,exgeus,exgrus,exusir,exirus,exitus,exneus,expous,exspus,exusec,execus,exuseu,exeuus,twexb,twexm,twexo,indexgx
01-Jan-10,,,,,,,,,,,,,,,,,"73,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-10,"0,9133","10,949","1,72","10,377","68,273","51,597","77,555","46,27","92,55",1149,"3,396","12,911","0,7327","13,648","57,113","13,971","72,955","114,4","70,633","10,294","31,65","33,18","16,109","0,6208","2,145",,,,,,,,,,,,,,,"14,419","0,6935","101,113","73,613","131,034",
05-Jan-10,"0,9143","10,937","17,296","10,371","68,258","51,668","77,564","46,13","91,48","1138,2","3,385","12,816","0,7357","13,592","56,986","13,956","7,306","114,3","70,919","10,322","31,89","33,15","16,009","0,6246","2,145",,,,,,,,,,,,,,,"14,402","0,6943","100,949","73,533","130,764",
06-Jan-10,"0,9189","10,883","17,292","10,333","68,272","51,638","77,546","45,72","92,53",1130,"3,379","12,742","0,7355","13,596","56,805","13,945","7,306","114,3","70,744","10,282","31,83","33,14","16,016","0,6244","2,145",,,,,,,,,,,,,,,"14,404","0,6943","100,82","73,566","130,415",
07-Jan-10,"0,9168","10,908","17,409","10,351","6,828","51,981","77,539","45,67","93,31",1135,"3,368","12,759","0,7325","13,652","57,118","13,971","7,44","114,27","71,251","10,341","31,85","33,11","15,912","0,6285","2,145",,,,,,,,,,,,,,,"14,314","0,6986","101,087","73,95","130,491",
08-Jan-10,"0,9218","10,848","17,342","10,345","68,274","51,827","77,553","45,5","92,7","1127,75","3,375","12,726","0,7338","13,628","56,868","13,941","73,565","114,35","71,185","10,296","31,82","33,13","15,993","0,6253","2,145",,,,,,,,,,,,,,,"14,357","0,6965","100,866","73,717","130,308",
11-Jan-10,"0,9295","10,758","1,733","10,317","68,263","51,185","7,755","45,35","91,9",1120,"3,335","12,666","0,7423","13,472","56,162","13,878","73,425","114,3","70,242","10,154","31,75","33,01","16,146","0,6193","2,145",,,,,,,,,,,,,,,"14,536","0,6879","100,307","73,085","129,905",
12-Jan-10,"0,9242","1,082","17,407","10,374","68,267","51,232","77,552","45,6","90,95","1120,25","33,425","12,716","0,7416","13,484","56,341","13,884","7,425","114,25","70,409","1,016","31,8","33,01","16,181","0,618","4,289",,,,,,,,,,,,,,,"14,523","0,6886","100,653","73,101","130,693",
13-Jan-10,"0,9225","1,084","1,748","10,319","68,295","51,336","77,564","45,47","91,38",1122,"33,445","12,762","0,7394","13,524","56,445","13,885","74,222","114,35","70,453","10,194","31,75","33,02","16,288","0,6139","4,289",,,,,,,,,,,,,,,"14,492","0,69","100,708","73,077","130,854",
14-Jan-10,"0,9306","10,746","17,684","1,026","68,265","51,387","77,578","45,55","91,03","1122,5","3,337","12,72","0,7425","13,468","56,354","13,879","7,406","114,35","70,217","10,206","31,75","32,85","1,632","0,6127","4,289",,,,,,,,,,,,,,,"14,478","0,6907","100,563","72,9","130,771",
15-Jan-10,"0,9234","1,083","17,681","10,287","68,269","51,768","77,594","45,8","90,79",1123,"3,338","12,685","0,738","1,355","56,816","1,391","7,388","114,2","70,611","10,264","31,79","32,86","1,624","0,6158","4,289",,,,,,,,,,,,,,,"14,376","0,6956","100,725","73,181","130,746",
18-Jan-10,,,,,,,,,,,,,,,,,"7,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan-10,"0,9232","10,832","17,767","10,325","68,268","52,154","77,626","45,84","91,13","1129,3","3,338","12,65","0,7381","13,548","57,059","13,908","7,4","114,2","70,926","1,034","31,83","32,89","1,637","0,6109","4,289",,,,,,,,,,,,,,,"14,269","0,7008","100,932","73,488","130,79",
20-Jan-10,"0,9085","11,007","1,792","10,477","68,258","52,812","77,684","46,1","91,23","1133,5","3,362","12,77","0,7195","13,899","57,772","14,006","75,551","114,35","71,896","10,453","31,97","32,96","16,287","0,614","4,289",,,,,,,,,,,,,,,"14,094","0,7095","101,634","74,268","131,312",
21-Jan-10,"0,9053","11,046","18,021","10,483","68,268","52,762","77,703","46,1","90,25",1141,"3,368","12,783","0,7142","14,002","57,878","1,401","7,57","114,35","72,175","10,426","31,92","32,96","16,214","0,6168","4,289",,,,,,,,,,,,,,,"14,106","0,7089","101,611","74,153","131,425",
22-Jan-10,"0,905","1,105","1,821","10,561","6,827","52,611","77,713","46,21","90,07",1153,"33,955","12,93","0,713","14,025","57,904","1,402","7,61","114,3","72,227","1,04","31,98","33,02","1,612","0,6203","4,3",,,,,,,,,,,,,,,"14,154","0,7065","101,902","74,227",132,
25-Jan-10,"0,903","11,074","1,82","10,582","68,268","5,263","77,679","46,06","90,12",1146,"3,397","12,91","0,7143","1,4","58,156","13,995","7,61","114,35","72,387","10,403","31,91","32,95","16,236","0,6159","4,3",,,,,,,,,,,,,,,"14,146","0,7069","101,875","74,258","131,89",
26-Jan-10,"0,8949","11,174","18,466","10,669","68,263","5,293","77,742",,"89,63","1163,1","3,42","12,953","0,704","14,205","58,625","14,044","76,265","114,47","73,075","10,466","32,04","33,02","16,109","0,6208","4,3",,,,,,,,,,,,,,,"14,063","0,7111","102,292","74,626","132,34",
27-Jan-10,"0,8967","11,152","18,529","10,657","68,268","52,978","77,752","46,3","89,41",1162,"3,43","12,928","0,707","14,144","58,539","14,044","76,005","114,5","72,952","10,472","32,01","33,02","16,204","0,6171","4,289",,,,,,,,,,,,,,,"14,053","0,7116","102,255","74,548","132,365",
28-Jan-10,"0,9024","11,082","18,525","10,584","68,267","53,195","77,691","46,35","90,08","1151,4","3,404","12,929","0,7119","14,047","58,499","14,025","75,594","114,63","72,992","10,517","31,97","33,07","16,242","0,6157","4,289",,,,,,,,,,,,,,,"13,993","0,7146","102,242","74,594","132,268",
29-Jan-10,"0,8873","1,127","18,755","10,652","68,268","53,676","77,665","46,08","90,38","1158,7","3,41","13,029","0,7046","14,192","59,201","14,055","7,58","114,6","73,852","10,557","31,94","33,17","16,009","0,6246","4,289",,,,,,,,,,,,,,,"1,387","0,721","102,72","75,173","132,558",
